"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
2.35,25.5752563477,-0.209439510239,-0.649650332687,-0.560229142615
2.4,23.2574462891,-0.244346095279,-0.649650332687,0.296275027345
2.45,22.4349975586,-0.279252680319,-0.572080143709,0.301661846023
2.5,22.3739624023,-0.296705972839,-0.572080143709,-0.522521411863
2.55,23.8677978516,-0.331612557879,-0.659346606309,-0.770315071096
2.6,25.9414672852,-0.366519142919,-0.688435427176,-0.204699109802
2.65,26.1856079102,-0.401425727959,-0.688435427176,0.743380977701
2.7,26.399230957,-0.436332312999,-0.639954059065,2.17627474631
2.75,27.0095825195,-0.471238898038,-0.475117407487,3.5122057787
2.8,26.7044067383,-0.488692190558,-0.22301429331,3.51759259738
2.85,25.0274658203,-0.488692190558,-0.0581776417331,2.21398247707
2.9,24.3255615234,-0.488692190558,-0.00969627362219,0.926532812787
2.95,24.5086669922,-0.488692190558,0,0.26934093395
3,24.7528076172,-0.488692190558,0,0.0484813681109
3.05,24.6307373047,-0.488692190558,0,0.00538681867899
3.1,24.6002197266,-0.488692190558,0,0
3.15,24.6002197266,-0.488692190558,0,0
3.2,24.6917724609,-0.488692190558,0,-0.010773637358
3.25,24.9664306641,-0.488692190558,0,-0.0808022801849
3.3,25.1190185547,-0.488692190558,0,-0.414785038283
3.35,24.8443603516,-0.488692190558,-0.0193925472444,-1.21742102145
3.4,24.7528076172,-0.488692190558,-0.0872664625997,-2.54796523516
3.45,25.4531860352,-0.488692190558,-0.31028075591,-3.15667574589
3.5,26.8569946289,-0.523598775598,-0.475117407487,-2.35403976272
3.55,24.8748779297,-0.541052068118,-0.542991322843,-1.4113464939
3.6,25.0579833984,-0.575958653158,-0.62056151182,-0.414785038282
3.65,22.8317260742,-0.610865238198,-0.562383870087,0.118510010938
3.7,23.5931396484,-0.628318530718,-0.562383870087,-0.166991379049
3.75,23.6236572266,-0.663225115758,-0.62056151182,0.188538653765
3.8,23.4710693359,-0.698131700798,-0.552687596465,0.711060065627
3.85,22.9522705078,-0.715584993318,-0.523598775598,0.834956895244
3.9,22.5875854492,-0.750491578358,-0.48481368111,1.10968464787
3.95,20.3308105469,-0.767944870878,-0.387850944888,0.808022801849
4,19.3542480469,-0.785398163397,-0.368458397643,-0.183151835086
4.05,19.1101074219,-0.802851455917,-0.39754721851,-1.31977057635
4.1,18.5302734375,-0.820304748437,-0.523598775598,-1.92848108708
4.15,17.8604125977,-0.855211333477,-0.649650332687,-1.32515739503
4.2,16.8533325195,-0.890117918517,-0.678739153553,-0.226246384518
4.25,17.3721313477,-0.925024503557,-0.659346606309,0.592550054689
4.3,19.2626953125,-0.959931088597,-0.572080143709,0.495587318468
4.35,20.6970214844,-0.977384381117,-0.572080143709,-0.226246384518
4.4,22.0993041992,-1.01229096616,-0.649650332687,0.113123192259
4.45,22.9522705078,-1.0471975512,-0.630257785442,1.73994243332
4.5,23.2269287109,-1.08210413624,-0.475117407487,3.3344407623
4.55,24.4476318359,-1.09955742876,-0.22301429331,3.47988486663
4.6,24.4476318359,-1.09955742876,-0.0581776417331,2.20859565839
4.65,24.2034912109,-1.09955742876,-0.00969627362219,0.926532812787
4.7,23.5321044922,-1.09955742876,0,0.26934093395
4.75,23.6541748047,-1.09955742876,0,0.048481368111
4.8,23.4405517578,-1.09955742876,0,0.005386818679
