"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
2.9,51187.2454834,-0.383972435439,-0.387850944888,0.360916851493,2.9,24.3255615234,-0.488692190558,-0.00969627362219,0.926532812787
2.95,50835.4632568,-0.401425727959,-0.426636039376,1.20664738409,2.95,24.5086669922,-0.488692190558,0,0.26934093395
3,53353.6376953,-0.436332312999,-0.300584482288,2.53180477913,3,24.7528076172,-0.488692190558,0,0.0484813681109
3.05,52708.7036133,-0.436332312999,-0.0872664625997,2.332492488,3.05,24.6307373047,-0.488692190558,0,0.00538681867899
3.1,52708.7036133,-0.436332312999,-0.0193925472444,1.17432647202,3.1,24.6002197266,-0.488692190558,0,0
3.15,51714.9188232,-0.436332312999,0,0.409398219604,3.15,24.6002197266,-0.488692190558,0,0
3.2,51480.3973389,-0.436332312999,0,0.0808022801849,3.2,24.6917724609,-0.488692190558,0,-0.010773637358
3.25,51656.2884521,-0.436332312999,0,0.010773637358,3.25,24.9664306641,-0.488692190558,0,-0.0808022801849
3.3,51128.6151123,-0.436332312999,0,0,3.3,25.1190185547,-0.488692190558,0,-0.414785038283
3.35,51421.7669678,-0.436332312999,0,-0.010773637358,3.35,24.8443603516,-0.488692190558,-0.0193925472444,-1.21742102145
3.4,51245.8758545,-0.436332312999,0,-0.0861890988639,3.4,24.7528076172,-0.488692190558,-0.0872664625997,-2.54796523516
3.45,50542.3114014,-0.436332312999,0,-0.447105950357,3.45,25.4531860352,-0.488692190558,-0.31028075591,-3.15667574589
3.5,51480.3973389,-0.436332312999,-0.0193925472444,-1.35747830711,3.5,26.8569946289,-0.523598775598,-0.475117407487,-2.35403976272
3.55,52066.7010498,-0.436332312999,-0.0969627362219,-2.80114571308,3.55,24.8748779297,-0.541052068118,-0.542991322843,-1.4113464939
3.6,52650.0732422,-0.436332312999,-0.339369576777,-3.3075066689,3.6,25.0579833984,-0.575958653158,-0.62056151182,-0.414785038282
3.65,54350.3540039,-0.471238898038,-0.552687596465,-1.51908286748,3.65,22.8317260742,-0.610865238198,-0.562383870087,0.118510010938
3.7,52418.4832764,-0.506145483078,-0.504206228354,0.565615961295,3.7,23.5931396484,-0.628318530718,-0.562383870087,-0.166991379049
3.75,52183.961792,-0.523598775598,-0.39754721851,0.883438263355,3.75,23.6236572266,-0.663225115758,-0.62056151182,0.188538653765
3.8,50894.0936279,-0.541052068118,-0.368458397643,0.177765016407,3.8,23.4710693359,-0.698131700798,-0.552687596465,0.711060065627
3.85,52183.961792,-0.558505360638,-0.387850944888,-0.414785038283,3.85,22.9522705078,-0.715584993318,-0.523598775598,0.834956895244
3.9,49838.7469482,-0.575958653158,-0.465421133865,0.0323209120743,3.9,22.5875854492,-0.750491578358,-0.48481368111,1.10968464787
3.95,48490.2484131,-0.610865238198,-0.436332312999,1.34131785107,3.95,20.3308105469,-0.767944870878,-0.387850944888,0.808022801849
4,46792.8991699,-0.628318530718,-0.261799387799,1.44905422465,4,19.3542480469,-0.785398163397,-0.368458397643,-0.183151835086
4.05,45854.8132324,-0.628318530718,-0.22301429331,0.274727752628,4.05,19.1101074219,-0.802851455917,-0.39754721851,-1.31977057635
4.1,45503.0310059,-0.645771823238,-0.281191935044,-0.290888208666,4.1,18.5302734375,-0.820304748437,-0.523598775598,-1.92848108708
4.15,44623.5754395,-0.663225115758,-0.252103114177,-0.759541433738,4.15,17.8604125977,-0.855211333477,-0.649650332687,-1.32515739503
4.2,44040.2032471,-0.663225115758,-0.349065850399,-1.15816601598,4.2,16.8533325195,-0.890117918517,-0.678739153553,-0.226246384518
4.25,45327.1398926,-0.698131700798,-0.436332312999,-0.360916851493,4.25,17.3721313477,-0.925024503557,-0.659346606309,0.592550054689
4.3,46968.7902832,-0.715584993318,-0.378154671265,0.333982758098,4.3,19.2626953125,-0.959931088597,-0.572080143709,0.495587318468
4.35,47848.2458496,-0.733038285838,-0.358762124021,0.290888208666,4.35,20.6970214844,-0.977384381117,-0.572080143709,-0.226246384518
4.4,47789.6154785,-0.750491578358,-0.349065850399,0.140057285654,4.4,22.0993041992,-1.01229096616,-0.649650332687,0.113123192259
4.45,48900.6610107,-0.767944870878,-0.349065850399,-0.00538681867893,4.45,22.9522705078,-1.0471975512,-0.630257785442,1.73994243332
4.5,50366.4202881,-0.785398163397,-0.349065850399,-0.177765016407,4.5,23.2269287109,-1.08210413624,-0.475117407487,3.3344407623
4.55,52418.4832764,-0.802851455917,-0.358762124021,-0.474040043752,4.55,24.4476318359,-1.09955742876,-0.22301429331,3.47988486663
4.6,54526.2451172,-0.820304748437,-0.387850944888,-0.813409620528,4.6,24.4476318359,-1.09955742876,-0.0581776417331,2.20859565839
4.65,56343.7866211,-0.837758040957,-0.475117407487,-0.490200499789,4.65,24.2034912109,-1.09955742876,-0.00969627362219,0.926532812787
4.7,57513.4625244,-0.872664625997,-0.475117407487,0.490200499789,4.7,23.5321044922,-1.09955742876,0,0.26934093395
4.75,59096.4825439,-0.890117918517,-0.387850944888,0.813409620528,4.75,23.6541748047,-1.09955742876,0,0.048481368111
4.8,59565.5255127,-0.907571211037,-0.358762124021,0.479426862431,4.8,23.4405517578,-1.09955742876,0,0.005386818679
4.85,62787.2644043,-0.925024503557,-0.349065850399,0.220859565839,4.85,23.6236572266,-1.09955742876,0,0
4.9,62494.1125488,-0.942477796077,-0.349065850399,0.220859565839,4.9,23.4710693359,-1.09955742876,0,0
4.95,62787.2644043,-0.959931088597,-0.339369576777,0.479426862431,4.95,23.4405517578,-1.09955742876,0,0
5,62025.0695801,-0.977384381117,-0.31028075591,0.813409620528,5,23.6236572266,-1.09955742876,0,0
5.05,59213.7432861,-0.994837673637,-0.22301429331,0.490200499788,5.05,23.5626220703,-1.09955742876,0,-0.005386818679
5.1,55992.0043945,-0.994837673637,-0.22301429331,-0.490200499789,5.1,23.8372802734,-1.09955742876,0,-0.048481368111
5.15,52884.5947266,-1.01229096616,-0.31028075591,-0.813409620528,5.15,23.8372802734,-1.09955742876,0,-0.26934093395
5.2,52066.7010498,-1.02974425868,-0.339369576777,-0.474040043751,5.2,23.8067626953,-1.09955742876,-0.00969627362219,-0.926532812787
