"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,-271.901403809,-0.274848937988,-0.131969451904
0.001,-278.023718262,-0.179481506348,-0.115184783936
0.002,-283.675085449,-0.0839233398438,-0.0980186462402
0.003,-288.855505371,0.00782012939453,-0.0804710388184
0.004,-293.094030762,0.107002258301,-0.0629234313965
0.005,-296.390661621,0.198745727539,-0.044994354248
0.006,-298.745397949,0.290298461914,-0.0270652770996
0.007,-301.100134277,0.389671325684,-0.00875473022461
0.008,-301.571081543,0.473785400391,0.00955581665039
0.009,-302.042028809,0.569152832031,0.0274848937988
0.01,-301.571081543,0.653266906738,0.0457763671875
0.011,-299.68729248,0.741004943848,0.0637054443359
0.012,-297.332556152,0.832748413086,0.0816345214844
0.013,-294.035925293,0.909042358398,0.0988006591797
0.014,-290.268347168,0.993156433105,0.116729736328
0.015,-285.558874512,1.06945037842,0.133514404297
0.016,-279.907507324,1.14974975586,0.150299072266
0.017,-273.314245605,1.22222900391,0.166320800781
0.018,-266.250036621,1.29108428955,0.182723999023
0.019,-259.209375,1.35974884033,0.197601318359
0.02,-250.261376953,1.42860412598,0.212478637695
0.021,-241.313378906,1.4820098877,0.226955413818
0.022,-231.423486328,1.54304504395,0.240688323975
0.023,-221.062646484,1.59282684326,0.253658294678
0.024,-210.254406738,1.63860321045,0.265483856201
0.025,-199.422619629,1.68437957764,0.277690887451
0.026,-188.119885254,1.72271728516,0.287990570068
0.027,-175.875256348,1.75704956055,0.298290252686
0.028,-163.183227539,1.7951965332,0.308208465576
0.029,-149.996704102,1.8180847168,0.316600799561
0.03,-136.339233398,1.84097290039,0.324230194092
0.031,-122.681762695,1.86004638672,0.331478118896
0.032,-109.047839355,1.87168121338,0.337581634521
0.033,-94.4484741211,1.88312530518,0.342922210693
0.034,-79.8491088867,1.88694000244,0.347118377686
0.035,-65.2732910156,1.88312530518,0.350933074951
0.036,-51.1448730469,1.87931060791,0.353603363037
