"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,173.850183105,1.13067626953,0.299053192139
0.001,182.327233887,1.06563568115,0.287990570068
0.002,195.513757324,0.993156433105,0.275402069092
0.003,209.642175293,0.924301147461,0.262432098389
0.004,224.68894043,0.848007202148,0.247936248779
0.005,236.933569336,0.775527954102,0.23344039917
0.006,246.352514648,0.702857971191,0.218200683594
0.007,253.416723633,0.622749328613,0.202941894531
0.008,257.184301758,0.550079345703,0.187301635742
0.009,259.539038086,0.469970703125,0.171279907227
0.01,264.248510742,0.389671325684,0.154876708984
0.011,270.347277832,0.313377380371,0.138854980469
0.012,273.643908691,0.225448608398,0.121688842773
0.013,274.585803223,0.149154663086,0.105667114258
0.014,274.585803223,0.0650405883789,0.0888824462891
0.015,274.114855957,-0.0152587890625,0.0720977783203
0.016,274.585803223,-0.0991821289063,0.0556945800781
0.017,275.056750488,-0.179481506348,0.0392913818359
0.018,275.527697754,-0.263404846191,0.0225257873535
0.019,275.527697754,-0.343704223633,0.00574111938477
0.02,275.056750488,-0.423812866211,-0.0106620788574
0.021,274.585803223,-0.500297546387,-0.0270652770996
0.022,273.643908691,-0.58422088623,-0.0442314147949
0.023,271.760119629,-0.656890869141,-0.0602531433105
0.024,268.934436035,-0.736999511719,-0.0762748718262
0.025,264.719458008,-0.809669494629,-0.0922966003418
0.026,259.539038086,-0.87833404541,-0.107555389404
0.027,254.358618164,-0.954818725586,-0.123195648193
0.028,252.945776367,-1.02348327637,-0.138454437256
0.029,248.236303711,-1.08833312988,-0.153331756592
0.03,241.172094727,-1.15337371826,-0.167808532715
0.031,232.22409668,-1.21822357178,-0.181541442871
0.032,225.159887695,-1.27944946289,-0.194892883301
0.033,220.450415039,-1.33666992188,-0.20824432373
0.034,215.29354248,-1.39007568359,-0.220832824707
0.035,210.113122559,-1.45130157471,-0.233421325684
0.036,203.51986084,-1.49707794189,-0.245628356934
0.037,187.978601074,-1.54285430908,-0.256309509277
0.038,173.37923584,-1.58882141113,-0.266609191895
0.039,164.925732422,-1.63078308105,-0.276145935059
0.04,162.100048828,-1.66511535645,-0.285682678223
0.041,150.326367187,-1.70707702637,-0.294456481934
0.042,127.720898437,-1.73397064209,-0.301704406738
0.043,103.726135254,-1.76448822021,-0.307426452637
0.044,94.778137207,-1.79119110107,-0.313148498535
0.045,91.9524536133,-1.8102645874,-0.318870544434
0.046,84.4172973633,-1.82933807373,-0.323448181152
0.047,79.2368774414,-1.84459686279,-0.328025817871
0.048,75.940246582,-1.85222625732,-0.33260345459
0.049,67.4867431641,-1.85985565186,-0.336418151855
0.05,59.4806396484,-1.86748504639,-0.340232849121
0.051,50.0616943359,-1.86367034912,-0.342903137207
0.052,40.6427490234,-1.85985565186,-0.34481048584
0.053,32.1656982422,-1.85222625732,-0.346717834473
0.054,22.2993530273,-1.84078216553,-0.347862243652
0.055,10.0547241211,-1.82933807373,-0.348243713379
0.056,-1.24801025391,-1.80644989014,-0.347480773926
0.057,-13.0216918945,-1.78737640381,-0.346717834473
0.058,-24.7718261719,-1.76067352295,-0.344429016113
0.059,-34.66171875,-1.73397064209,-0.342903137207
0.06,-43.6097167969,-1.69944763184,-0.339469909668
0.061,-55.8543457031,-1.66511535645,-0.336036682129
0.062,-68.0989746094,-1.62315368652,-0.33145904541
0.063,-81.2619506836,-1.5811920166,-0.326499938965
0.064,-92.093737793,-1.53903961182,-0.320777893066
0.065,-106.693103027,-1.48944854736,-0.313911437988
0.066,-116.582995605,-1.43985748291,-0.306663513184
0.067,-125.978393555,-1.38626098633,-0.298652648926
0.068,-138.693969727,-1.32904052734,-0.290260314941
0.069,-149.525756836,-1.27182006836,-0.280342102051
0.07,-160.357543945,-1.21059417725,-0.270805358887
0.071,-167.869152832,-1.14574432373,-0.26050567627
0.072,-162.241333008,-1.08070373535,-0.250968933105
