"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,-171.165783691,-0.931739807129,-0.250587463379
0.001,-179.171887207,-0.866889953613,-0.239524841309
0.002,-183.881359863,-0.805854797363,-0.228080749512
0.003,-189.061779785,-0.740814208984,-0.216636657715
0.004,-194.713146973,-0.675964355469,-0.204811096191
0.005,-200.835461426,-0.61092376709,-0.192985534668
0.006,-206.957775879,-0.542259216309,-0.179634094238
0.007,-211.667248535,-0.481224060059,-0.167427062988
0.008,-216.824121094,-0.408554077148,-0.153713226318
0.009,-220.591699219,-0.336074829102,-0.140361785889
0.01,-223.888330078,-0.271034240723,-0.127010345459
0.011,-226.714013672,-0.198554992676,-0.113277435303
0.012,-230.010644531,-0.133514404297,-0.0995445251465
0.013,-233.307275391,-0.06103515625,-0.0854301452637
0.014,-236.132958984,0.0116348266602,-0.0713157653809
0.015,-238.487695312,0.0764846801758,-0.0568199157715
0.016,-240.842431641,0.152969360352,-0.0419425964355
0.017,-243.197167969,0.217819213867,-0.0274467468262
0.018,-243.668115234,0.286483764648,-0.0125694274902
0.019,-244.610009766,0.359153747559,0.00154495239258
0.02,-245.551904297,0.424003601074,0.0168037414551
0.021,-245.551904297,0.496673583984,0.0316619873047
0.022,-245.080957031,0.5615234375,0.0461578369141
0.023,-244.610009766,0.630378723145,0.06103515625
0.024,-242.726220703,0.69522857666,0.0751495361328
0.025,-241.784326172,0.75626373291,0.0900268554688
0.026,-239.900537109,0.825119018555,0.104141235352
0.027,-237.545800781,0.882339477539,0.118255615234
0.028,-234.720117187,0.947380065918,0.132369995117
0.029,-231.894433594,1.0046005249,0.146102905273
0.03,-228.126855469,1.06563568115,0.15983581543
0.031,-226.243066406,1.123046875,0.173187255859
0.032,-223.417382812,1.17645263672,0.186538696289
0.033,-219.178857422,1.22985839844,0.199508666992
0.034,-215.411279297,1.28345489502,0.212478637695
0.035,-211.667248535,1.32923126221,0.224685668945
0.036,-208.370617676,1.38263702393,0.237636566162
0.037,-203.190197754,1.42478942871,0.249462127686
0.038,-197.067883301,1.4705657959,0.261287689209
0.039,-189.532727051,1.51252746582,0.272350311279
0.04,-180.113781738,1.55467987061,0.28341293335
0.041,-145.287231445,1.59282684326,0.290660858154
0.042,-117.053942871,1.63097381592,0.297145843506
0.043,-111.402575684,1.66149139404,0.303630828857
0.044,-113.286364746,1.69582366943,0.310497283936
0.045,-111.873522949,1.72653198242,0.316982269287
0.046,-108.105944824,1.74942016602,0.323848724365
0.047,-108.57689209,1.77993774414,0.32995223999
0.048,-102.454577637,1.79901123047,0.336055755615
0.049,-92.093737793,1.8180847168,0.340633392334
0.05,-84.558581543,1.83715820313,0.345973968506
0.051,-85.0295288086,1.84860229492,0.350933074951
0.052,-82.2038452148,1.85623168945,0.355892181396
0.053,-76.0815307617,1.87168121338,0.360469818115
0.054,-68.0989746094,1.87168121338,0.364284515381
0.055,-55.3833984375,1.87549591064,0.366954803467
0.056,-44.5516113281,1.87931060791,0.369243621826
0.057,-38.9002441406,1.87549591064,0.371913909912
0.058,-34.1907714844,1.87168121338,0.373439788818
0.059,-26.6556152344,1.86786651611,0.374965667725
0.06,-20.5568481445,1.85241699219,0.376110076904
0.061,-12.0797973633,1.84097290039,0.376491546631
0.062,-1.24801025391,1.82571411133,0.376491546631
0.063,6.75809326172,1.806640625,0.375347137451
0.064,17.1189331055,1.79138183594,0.374202728271
0.065,27.4562255859,1.76086425781,0.372295379639
0.066,39.7008544922,1.73797607422,0.369243621826
0.067,51.9454833984,1.71127319336,0.365810394287
0.068,63.7191650391,1.67675018311,0.361614227295
0.069,72.1962158203,1.65004730225,0.357036590576
0.07,79.2368774414,1.61571502686,0.352077484131
0.071,88.1848754883,1.57375335693,0.346355438232
0.072,96.1909790039,1.53923034668,0.340251922607
0.073,104.668029785,1.49726867676,0.334148406982
0.074,114.557922363,1.45149230957,0.326519012451
0.075,123.953320312,1.40953063965,0.31888961792
0.076,130.546582031,1.35974884033,0.310878753662
0.077,136.197949219,1.31397247314,0.302486419678
0.078,144.204052734,1.26056671143,0.293712615967
0.079,154.564892578,1.20315551758,0.283794403076
0.08,163.512890625,1.15356445313,0.273494720459
0.081,169.164257812,1.09634399414,0.263195037842
0.082,174.792077637,1.03511810303,0.252513885498
0.083,180.91439209,0.974082946777,0.241069793701
0.084,187.978601074,0.91667175293,0.230007171631
0.085,192.68807373,0.85563659668,0.217437744141
0.086,195.98470459,0.79460144043,0.205993652344
0.087,198.339440918,0.72193145752,0.193786621094
0.088,200.694177246,0.664710998535,0.18196105957
0.089,202.577966309,0.592041015625,0.169372558594
0.09,204.932702637,0.527191162109,0.157165527344
0.091,206.345544434,0.462341308594,0.144577026367
0.092,208.229333496,0.389671325684,0.131988525391
0.093,210.584069824,0.324821472168,0.119018554688
0.094,212.938806152,0.248336791992,0.106048583984
0.095,215.29354248,0.183486938477,0.0930786132813
0.096,217.177331543,0.114631652832,0.0797271728516
0.097,219.037573242,0.0421524047852,0.0667572021484
0.098,220.921362305,-0.030517578125,0.0530242919922
0.099,222.334204102,-0.0991821289063,0.0400543212891
0.1,223.747045898,-0.168037414551,0.0259590148926
0.101,225.159887695,-0.240516662598,0.0126075744629
0.102,226.101782227,-0.309181213379,-0.00112533569336
0.103,226.101782227,-0.378036499023,-0.0148582458496
0.104,226.101782227,-0.45051574707,-0.0285911560059
0.105,226.101782227,-0.515556335449,-0.0423240661621
0.106,225.159887695,-0.580406188965,-0.0556755065918
0.107,224.217993164,-0.649261474609,-0.069408416748
0.108,221.863256836,-0.714111328125,-0.0823783874512
0.109,219.037573242,-0.778961181641,-0.0957298278809
0.11,215.764489746,-0.84400177002,-0.108699798584
0.111,212.467858887,-0.901222229004,-0.121669769287
0.112,211.525964355,-0.966262817383,-0.134258270264
0.113,211.05501709,-1.02348327637,-0.14684677124
0.114,210.584069824,-1.08070373535,-0.159816741943
0.115,209.642175293,-1.1381149292,-0.17276763916
0.116,210.584069824,-1.19152069092,-0.18497467041
0.117,208.229333496,-1.2487411499,-0.197944641113
0.118,203.048913574,-1.29852294922,-0.209770202637
0.119,193.629968262,-1.34429931641,-0.22159576416
0.12,184.681970215,-1.39389038086,-0.232276916504
0.121,178.088708496,-1.43985748291,-0.242958068848
0.122,172.908288574,-1.48181915283,-0.252876281738
0.123,168.693310547,-1.52378082275,-0.263175964355
0.124,164.925732422,-1.55811309814,-0.273094177246
0.125,160.687207031,-1.60026550293,-0.282249450684
0.126,154.564892578,-1.63078308105,-0.291404724121
0.127,146.087841797,-1.66511535645,-0.300178527832
0.128,137.13984375,-1.69563293457,-0.30818939209
0.129,147.029736328,-1.7261505127,-0.31810760498
0.13,139.965527344,-1.74541473389,-0.325736999512
0.131,122.540478516,-1.77211761475,-0.332984924316
0.132,108.906555176,-1.78737640381,-0.339088439941
0.133,101.371398926,-1.80263519287,-0.345191955566
0.134,93.8362426758,-1.8217086792,-0.350532531738
0.135,84.4172973633,-1.82933807373,-0.355491638184
0.136,74.0800048828,-1.84078216553,-0.359306335449
0.137,63.7191650391,-1.84841156006,-0.363101959229
0.138,52.8873779297,-1.85222625732,-0.366153717041
0.139,45.8231689453,-1.85222625732,-0.3684425354
0.14,41.1136962891,-1.85604095459,-0.371112823486
0.141,33.5785400391,-1.84841156006,-0.372638702393
0.142,29.8109619141,-1.84459686279,-0.374927520752
0.143,25.5959838867,-1.833152771,-0.376071929932
0.144,17.1189331055,-1.81789398193,-0.376834869385
0.145,8.17093505859,-1.80644989014,-0.376834869385
0.146,-1.24801025391,-1.79119110107,-0.376834869385
0.147,-9.25411376953,-1.76830291748,-0.376071929932
0.148,-17.7311645508,-1.74922943115,-0.374546051025
0.149,-27.1265625,-1.7261505127,-0.373401641846
0.15,-37.0164550781,-1.69563293457,-0.370349884033
0.151,-47.3772949219,-1.66893005371,-0.367298126221
0.152,-57.2671875,-1.63078308105,-0.363483428955
0.153,-65.7442382812,-1.59645080566,-0.359306335449
0.154,-73.7267944336,-1.56192779541,-0.35472869873
0.155,-85.9714233398,-1.52378082275,-0.349388122559
0.156,-95.861315918,-1.4856338501,-0.34366607666
0.157,-104.809313965,-1.43985748291,-0.336799621582
0.158,-113.286364746,-1.39389038086,-0.329933166504
0.159,-121.739868164,-1.34811401367,-0.322303771973
0.16,-129.74597168,-1.30233764648,-0.314674377441
0.161,-137.28112793,-1.2487411499,-0.30590057373
0.162,-144.81628418,-1.19915008545,-0.29712677002
0.163,-151.880493164,-1.14192962646,-0.287971496582
