"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,188.44954834,-0.141143798828,0.0278663635254
0.001,188.920495605,-0.187110900879,0.0168037414551
0.002,188.920495605,-0.236701965332,0.00459671020508
0.003,189.391442871,-0.28247833252,-0.00646591186523
0.004,189.391442871,-0.32844543457,-0.0179100036621
0.005,189.862390137,-0.370407104492,-0.0297355651855
0.006,190.333337402,-0.41618347168,-0.0407981872559
0.007,190.804284668,-0.461959838867,-0.0526237487793
0.008,190.333337402,-0.504112243652,-0.0640678405762
0.009,190.804284668,-0.54988861084,-0.0758934020996
0.01,190.333337402,-0.591850280762,-0.0869560241699
0.011,189.391442871,-0.637817382813,-0.0984001159668
0.012,188.44954834,-0.679779052734,-0.109844207764
0.013,186.094812012,-0.721740722656,-0.121288299561
0.014,184.681970215,-0.767517089844,-0.131969451904
0.015,183.740075684,-0.802040100098,-0.143032073975
0.016,181.385339355,-0.847816467285,-0.154476165771
0.017,177.146813965,-0.885963439941,-0.164775848389
0.018,170.106152344,-0.924110412598,-0.17505645752
0.019,166.338574219,-0.970077514648,-0.18497467041
0.02,165.867626953,-1.00440979004,-0.195274353027
0.021,168.693310547,-1.04637145996,-0.205192565918
0.022,172.437341309,-1.08070373535,-0.216255187988
0.023,173.850183105,-1.11522674561,-0.226554870605
0.024,174.321130371,-1.15337371826,-0.236854553223
0.025,174.792077637,-1.18770599365,-0.247535705566
0.026,173.850183105,-1.22203826904,-0.257835388184
0.027,171.966394043,-1.25255584717,-0.268516540527
0.028,168.693310547,-1.28707885742,-0.278434753418
0.029,165.396679687,-1.32141113281,-0.288734436035
0.03,161.158154297,-1.34811401367,-0.298271179199
0.031,158.332470703,-1.3786315918,-0.307426452637
0.032,154.564892578,-1.41296386719,-0.316963195801
0.033,150.326367187,-1.43604278564,-0.325736999512
0.034,146.087841797,-1.46656036377,-0.334510803223
0.035,142.320263672,-1.49326324463,-0.342903137207
0.036,138.081738281,-1.51615142822,-0.351295471191
0.037,134.314160156,-1.54666900635,-0.358924865723
0.038,130.546582031,-1.56574249268,-0.367298126221
0.039,126.308056641,-1.58882141113,-0.374927520752
0.04,121.622131348,-1.60789489746,-0.38179397583
0.041,117.854553223,-1.63078308105,-0.389041900635
0.042,113.616027832,-1.65367126465,-0.395526885986
0.043,109.377502441,-1.66893005371,-0.402011871338
0.044,105.138977051,-1.68800354004,-0.408496856689
0.045,100.90045166,-1.70707702637,-0.414600372314
0.046,96.1909790039,-1.71852111816,-0.419940948486
0.047,91.9524536133,-1.73778533936,-0.425662994385
0.048,87.7139282227,-1.74922943115,-0.43062210083
0.049,83.475402832,-1.75685882568,-0.435962677002
0.05,78.2949829102,-1.77211761475,-0.440540313721
0.051,73.6090576172,-1.77974700928,-0.444736480713
0.052,68.8995849609,-1.78737640381,-0.448551177979
0.053,64.1901123047,-1.79500579834,-0.452365875244
0.054,59.4806396484,-1.79882049561,-0.455799102783
0.055,54.7711669922,-1.80644989014,-0.459232330322
0.056,49.1197998047,-1.8102645874,-0.462284088135
0.057,44.4103271484,-1.8102645874,-0.464572906494
0.058,39.2299072266,-1.81789398193,-0.46724319458
0.059,34.9913818359,-1.81789398193,-0.468769073486
0.06,29.3400146484,-1.81407928467,-0.470676422119
0.061,24.6540893555,-1.81407928467,-0.471820831299
0.062,19.4736694336,-1.8102645874,-0.472965240479
0.063,14.2932495117,-1.80644989014,-0.473728179932
0.064,9.58377685547,-1.80644989014,-0.474491119385
0.065,4.87430419922,-1.79500579834,-0.474491119385
0.066,0.164831542969,-1.79119110107,-0.474109649658
0.067,-5.01558837891,-1.77974700928,-0.474109649658
0.068,-10.1960083008,-1.76830291748,-0.472965240479
0.069,-15.3764282227,-1.76067352295,-0.471820831299
0.07,-20.0859008789,-1.74922943115,-0.470676422119
0.071,-24.7718261719,-1.73397064209,-0.469150543213
0.072,-29.4812988281,-1.7261505127,-0.467624664307
0.073,-34.66171875,-1.7032623291,-0.465335845947
0.074,-39.3711914062,-1.6918182373,-0.463047027588
0.075,-44.5516113281,-1.67274475098,-0.459995269775
0.076,-49.2610839844,-1.64604187012,-0.456562042236
0.077,-53.9705566406,-1.63459777832,-0.453510284424
0.078,-60.0928710937,-1.61170959473,-0.449695587158
0.079,-69.5118164062,-1.58882141113,-0.445499420166
0.08,-81.2619506836,-1.57337188721,-0.440540313721
0.081,-91.6227905273,-1.54285430908,-0.434818267822
0.082,-103.396472168,-1.52378082275,-0.427951812744
0.083,-110.931628418,-1.50089263916,-0.421085357666
0.084,-115.641101074,-1.47037506104,-0.414218902588
0.085,-120.327026367,-1.44748687744,-0.406589508057
0.086,-125.036499023,-1.41677856445,-0.398960113525
0.087,-128.804077148,-1.38244628906,-0.390949249268
0.088,-130.216918945,-1.35955810547,-0.383319854736
0.089,-131.158813477,-1.32522583008,-0.375308990479
0.09,-132.100708008,-1.29852294922,-0.367679595947
0.091,-133.042602539,-1.26800537109,-0.359687805176
0.092,-134.455444336,-1.22966766357,-0.351676940918
0.093,-137.28112793,-1.19915008545,-0.343284606934
0.094,-142.461547852,-1.16100311279,-0.334510803223
0.095,-148.583862305,-1.13048553467,-0.325736999512
0.096,-150.467651367,-1.09214782715,-0.316581726074
0.097,-149.525756836,-1.05018615723,-0.307426452637
0.098,-148.583862305,-1.0196685791,-0.298652648926
0.099,-149.525756836,-0.97770690918,-0.289497375488
0.1,-152.35144043,-0.943183898926,-0.280342102051
0.101,-154.706176758,-0.901222229004,-0.271186828613
0.102,-152.35144043,-0.855445861816,-0.262031555176
0.103,-149.996704102,-0.821113586426,-0.253257751465
0.104,-150.467651367,-0.775146484375,-0.244102478027
0.105,-154.706176758,-0.736999511719,-0.234565734863
0.106,-158.473754883,-0.695037841797,-0.225028991699
0.107,-158.944702148,-0.649261474609,-0.215492248535
