"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
0,151.739208984,1.4591217041,0.262432098389
0.001,167.751416016,1.38645172119,0.252132415771
0.002,185.15291748,1.29489898682,0.240306854248
0.003,201.636071777,1.20697021484,0.227718353271
0.004,219.037573242,1.11541748047,0.213241577148
0.005,234.578833008,1.01222991943,0.199127197266
0.006,249.178198242,0.912857055664,0.183486938477
0.007,262.36472168,0.806045532227,0.167465209961
0.008,274.114855957,0.69522857666,0.150299072266
0.009,280.708117676,0.588226318359,0.133514404297
0.01,281.650012207,0.466156005859,0.116348266602
0.011,281.179064941,0.355339050293,0.0995635986328
0.012,280.23717041,0.23307800293,0.0823974609375
0.013,278.824328613,0.118446350098,0.0656127929688
0.014,277.411486816,0.000190734863281,0.0492095947266
0.015,275.527697754,-0.125885009766,0.0324249267578
0.016,274.114855957,-0.240516662598,0.016040802002
0.017,271.289172363,-0.358963012695,-0.000362396240234
0.018,268.46348877,-0.481224060059,-0.0167655944824
0.019,265.190405273,-0.591850280762,-0.0324058532715
0.02,262.36472168,-0.706481933594,-0.0484275817871
0.021,258.597143555,-0.813484191895,-0.0636863708496
0.022,254.82956543,-0.920295715332,-0.0789451599121
0.023,251.061987305,-1.02729797363,-0.0945854187012
0.024,247.29440918,-1.12285614014,-0.109081268311
0.025,242.584936523,-1.21440887451,-0.12357711792
0.026,238.817358398,-1.30615234375,-0.138072967529
0.027,235.991674805,-1.38626098633,-0.151805877686
0.028,235.049780273,-1.47037506104,-0.166282653809
0.029,233.165991211,-1.53903961182,-0.180397033691
0.03,233.636938477,-1.6040802002,-0.194511413574
0.031,232.695043945,-1.66893005371,-0.20824432373
0.032,228.456518555,-1.71852111816,-0.221977233887
0.033,218.119226074,-1.76067352295,-0.234565734863
0.034,202.577966309,-1.80263519287,-0.246772766113
0.035,190.804284668,-1.833152771,-0.25821685791
0.036,182.798181152,-1.85222625732,-0.268898010254
0.037,168.222363281,-1.87129974365,-0.278434753418
0.038,147.971630859,-1.88274383545,-0.286827087402
0.039,125.837109375,-1.88274383545,-0.294075012207
0.04,100.429504395,-1.87511444092,-0.299415588379
0.041,77.3530883789,-1.86367034912,-0.303611755371
0.042,54.7711669922,-1.84078216553,-0.30590057373
0.043,31.2238037109,-1.81789398193,-0.307426452637
0.044,6.28714599609,-1.77974700928,-0.306663513184
0.045,-17.2602172852,-1.73778533936,-0.305137634277
0.046,-40.3130859375,-1.6918182373,-0.302085876465
0.047,-60.5638183594,-1.63459777832,-0.298271179199
0.048,-82.2038452148,-1.56955718994,-0.292930603027
0.049,-103.867419434,-1.50470733643,-0.285682678223
0.05,-125.036499023,-1.43222808838,-0.277671813965
0.051,-147.171020508,-1.34811401367,-0.268135070801
0.052,-166.479858398,-1.26800537109,-0.257835388184
0.053,-183.881359863,-1.17626190186,-0.246391296387
0.054,-200.36451416,-1.08070373535,-0.233421325684
0.055,-215.411279297,-0.985336303711,-0.22045135498
0.056,-229.539697266,-0.87833404541,-0.206336975098
0.057,-242.726220703,-0.775146484375,-0.191459655762
0.058,-255.441796875,-0.664520263672,-0.175819396973
0.059,-266.250036621,-0.54988861084,-0.15905380249
0.06,-276.139929199,-0.439071655273,-0.142269134521
0.061,-286.029821777,-0.324630737305,-0.125102996826
0.062,-294.506872559,-0.202369689941,-0.106410980225
0.063,-302.042028809,-0.0877380371094,-0.0884819030762
0.064,-308.164343262,0.0345230102539,-0.0701713562012
0.065,-314.263110352,0.156784057617,-0.0507164001465
0.066,-316.61784668,0.271224975586,-0.0316429138184
0.067,-320.385424805,0.389671325684,-0.0121879577637
0.068,-323.682055664,0.504302978516,0.00726699829102
0.069,-325.094897461,0.618934631348,0.0263404846191
0.07,-324.623950195,0.729560852051,0.0461578369141
0.071,-322.269213867,0.836563110352,0.0656127929688
0.072,-317.088793945,0.943565368652,0.0846862792969
0.073,-310.51907959,1.04656219482,0.102996826172
0.074,-303.925817871,1.14212036133,0.12092590332
0.075,-295.44876709,1.23748779297,0.138854980469
0.076,-285.087927246,1.32160186768,0.155258178711
0.077,-275.198034668,1.40571594238,0.171661376953
0.078,-264.366247559,1.4820098877,0.187301635742
0.079,-251.67421875,1.55467987061,0.202178955078
0.08,-237.074853516,1.61952972412,0.215530395508
0.081,-223.417382812,1.68056488037,0.229244232178
0.082,-210.254406738,1.73034667969,0.241069793701
0.083,-197.538830566,1.77993774414,0.252895355225
0.084,-181.05567627,1.82189941406,0.263576507568
0.085,-160.828491211,1.84860229492,0.271968841553
0.086,-134.455444336,1.87549591064,0.279598236084
0.087,-105.751208496,1.89456939697,0.284938812256
0.088,-74.1977416992,1.9021987915,0.288753509521
0.089,-30.894140625,1.90982818604,0.289134979248
0.09,-11.137902832,1.90601348877,0.289516448975
0.091,-2.66085205078,1.89075469971,0.289516448975
0.092,5.34525146484,1.87549591064,0.288753509521
0.093,16.1770385742,1.84860229492,0.287609100342
0.094,31.2238037109,1.81045532227,0.285320281982
0.095,43.4684326172,1.77230834961,0.28226852417
0.096,59.0096923828,1.72271728516,0.278453826904
0.097,75.940246582,1.66530609131,0.272731781006
0.098,91.010559082,1.60427093506,0.267009735107
0.099,109.377502441,1.53923034668,0.260143280029
0.1,129.133740234,1.46293640137,0.251750946045
0.101,147.971630859,1.38645172119,0.241832733154
0.102,167.751416016,1.29871368408,0.231533050537
0.103,187.036706543,1.21078491211,0.218963623047
0.104,206.345544434,1.11923217773,0.20637512207
0.105,226.101782227,1.01222991943,0.191879272461
0.106,245.881567383,0.91667175293,0.177001953125
0.107,260.951879883,0.813674926758,0.160598754883
0.108,272.231066895,0.699043273926,0.143814086914
0.109,279.766223145,0.588226318359,0.126647949219
0.11,283.062854004,0.473785400391,0.10986328125
0.111,280.708117676,0.355339050293,0.0930786132813
0.112,275.99864502,0.240707397461,0.0762939453125
0.113,271.760119629,0.118446350098,0.0598907470703
0.114,267.992541504,0.000190734863281,0.0438690185547
0.115,264.719458008,-0.1220703125,0.0278663635254
0.116,260.951879883,-0.244331359863,0.0122261047363
0.117,256.713354492,-0.358963012695,-0.00303268432617
0.118,252.474829102,-0.47721862793,-0.0182914733887
0.119,249.178198242,-0.588035583496,-0.0331687927246
0.12,246.352514648,-0.702667236328,-0.0480461120605
0.121,243.99777832,-0.813484191895,-0.0629234313965
0.122,242.584936523,-0.920295715332,-0.0770378112793
0.123,241.172094727,-1.02729797363,-0.0922966003418
0.124,240.701147461,-1.12285614014,-0.106792449951
0.125,243.526831055,-1.21822357178,-0.121288299561
0.126,244.939672852,-1.30996704102,-0.136165618896
0.127,243.055883789,-1.39007568359,-0.150661468506
0.128,240.230200195,-1.46656036377,-0.164775848389
0.129,237.404516602,-1.54285430908,-0.179252624512
0.13,233.165991211,-1.6040802002,-0.193367004395
0.131,227.514624023,-1.66511535645,-0.206718444824
0.132,221.863256836,-1.72233581543,-0.220069885254
0.133,217.177331543,-1.76448822021,-0.233421325684
0.134,211.996911621,-1.79882049561,-0.24600982666
0.135,203.990808105,-1.833152771,-0.257835388184
0.136,193.159020996,-1.85604095459,-0.269660949707
0.137,179.972497559,-1.86748504639,-0.279579162598
0.138,167.28046875,-1.88274383545,-0.289878845215
0.139,151.268261719,-1.87892913818,-0.297889709473
0.14,130.546582031,-1.87129974365,-0.305519104004
0.141,106.551818848,-1.86367034912,-0.310859680176
