"Latest: Time (s)","Latest: Potential (mV)"
0,702.771057129
0.001,1247.39802246
0.002,376.569433594
0.003,0.94189453125
0.004,702.771057129
0.005,1245.04328613
0.006,376.098486328
0.007,0.94189453125
0.008,702.300109863
0.009,1247.39802246
0.01,377.040380859
0.011,0.94189453125
0.012,701.829162598
0.013,1245.5142334
0.014,377.511328125
0.015,0.94189453125
0.016,702.300109863
0.017,1246.9270752
0.018,377.511328125
0.019,0.94189453125
0.02,702.300109863
0.021,1245.04328613
0.022,377.511328125
0.023,1.41284179688
0.024,701.358215332
0.025,1246.9270752
0.026,377.511328125
0.027,0.94189453125
0.028,701.829162598
0.029,1245.04328613
0.03,377.982275391
0.031,1.41284179688
0.032,701.829162598
0.033,1247.39802246
0.034,377.982275391
0.035,1.41284179688
0.036,700.887268066
0.037,1245.04328613
0.038,377.982275391
0.039,1.41284179688
0.04,700.887268066
0.041,1246.9270752
0.042,378.453222656
0.043,0.94189453125
0.044,700.887268066
0.045,1245.98518066
0.046,377.511328125
0.047,1.41284179688
0.048,701.358215332
0.049,1246.9270752
0.05,378.924169922
0.051,0.94189453125
0.052,699.945373535
0.053,1245.04328613
0.054,378.924169922
0.055,1.41284179688
0.056,699.945373535
0.057,1246.9270752
0.058,378.924169922
0.059,1.41284179688
0.06,700.416320801
0.061,1245.5142334
0.062,378.453222656
0.063,0.94189453125
0.064,700.416320801
0.065,1247.39802246
0.066,379.395117187
0.067,1.41284179688
0.068,699.47442627
0.069,1245.04328613
0.07,379.395117187
0.071,1.41284179688
0.072,699.47442627
0.073,1247.39802246
0.074,379.395117187
0.075,1.41284179688
0.076,699.003479004
0.077,1245.04328613
0.078,379.395117187
0.079,0.94189453125
0.08,699.47442627
0.081,1247.39802246
0.082,380.337011719
0.083,1.41284179688
0.084,699.003479004
0.085,1245.04328613
0.086,379.866064453
0.087,0.94189453125
0.088,699.003479004
0.089,1247.39802246
0.09,380.337011719
0.091,1.41284179688
0.092,698.532531738
0.093,1245.04328613
0.094,380.807958984
0.095,1.41284179688
0.096,698.532531738
0.097,1246.9270752
0.098,381.27890625
0.099,1.41284179688
0.1,698.532531738
0.101,1245.04328613
0.102,380.807958984
0.103,1.41284179688
0.104,698.532531738
0.105,1247.39802246
0.106,380.337011719
0.107,0.94189453125
0.108,698.532531738
0.109,1245.5142334
0.11,380.337011719
0.111,0.94189453125
0.112,698.532531738
0.113,1247.39802246
0.114,380.807958984
0.115,1.41284179688
0.116,699.003479004
0.117,1245.98518066
