"Latest: Time (s)","Latest: Potential (mV)"
0,344.097619629
0.001,1245.04328613
0.002,989.90760498
0.003,0.94189453125
0.004,1.41284179688
0.005,1186.19842529
0.006,1245.98518066
0.007,16.4596069336
0.008,1.41284179688
0.009,799.739099121
0.01,1247.39802246
0.011,546.487207031
0.012,0.94189453125
0.013,282.427075195
0.014,1245.98518066
0.015,1045.92678223
0.016,0.94189453125
0.017,1.8837890625
0.018,1157.96513672
0.019,1246.9270752
0.02,79.0720458984
0.021,0.94189453125
0.022,734.300976562
0.023,1245.04328613
0.024,614.751013184
0.025,0.94189453125
0.026,222.640319824
0.027,1246.45612793
0.028,1099.59122314
0.029,0.94189453125
0.03,1.41284179688
0.031,1124.52788086
0.032,1247.39802246
0.033,144.039221191
0.034,1.41284179688
0.035,667.47355957
0.036,1245.04328613
0.037,680.660083008
0.038,0.94189453125
0.039,165.679248047
0.04,1246.9270752
0.041,1149.01713867
0.042,0.94189453125
0.043,1.41284179688
0.044,1085.93375244
0.045,1247.39802246
0.046,210.866638184
0.047,0.94189453125
0.048,600.622595215
0.049,1245.5142334
0.05,746.545605469
0.051,1.41284179688
0.052,111.072912598
0.053,1246.9270752
0.054,1194.67547607
0.055,1.41284179688
0.056,1.41284179688
0.057,1040.27541504
0.058,1246.9270752
0.059,277.246655273
0.06,1.41284179688
0.061,534.737072754
0.062,1245.98518066
0.063,811.041833496
0.064,0.94189453125
0.065,60.2341552734
0.066,1245.98518066
0.067,1237.03718262
0.068,1.41284179688
0.069,1.41284179688
0.07,986.140026855
0.071,1245.98518066
0.072,345.981408691
0.073,1.41284179688
0.074,469.298950195
0.075,1246.45612793
0.076,873.654272461
0.077,0.94189453125
0.078,10.8317871094
0.079,1229.97297363
0.08,1247.39802246
0.081,1.41284179688
0.082,0.94189453125
0.083,924.493029785
0.084,1245.04328613
0.085,414.22166748
0.086,0.94189453125
0.087,403.860827637
0.088,1246.9270752
0.089,935.301269531
0.09,1.41284179688
0.091,1.41284179688
0.092,1209.27484131
0.093,1247.86896973
0.094,1.41284179688
0.095,1.41284179688
0.096,860.938696289
0.097,1245.5142334
0.098,481.543579102
0.099,0.94189453125
0.1,340.80098877
0.101,1246.9270752
0.102,992.733288574
0.103,0.94189453125
0.104,1.8837890625
0.105,1185.25653076
0.106,1247.39802246
0.107,18.3433959961
0.108,1.41284179688
0.109,799.268151855
0.11,1245.98518066
0.111,544.603417969
0.112,1.41284179688
0.113,286.665600586
0.114,1246.9270752
0.115,1041.68825684
0.116,0.94189453125
0.117,1.41284179688
0.118,1159.37797852
0.119,1245.5142334
0.12,76.2463623047
0.121,1.41284179688
0.122,736.655712891
0.123,1246.45612793
0.124,612.396276855
0.125,0.94189453125
0.126,224.524108887
0.127,1245.98518066
0.128,1097.70743408
0.129,1.41284179688
0.13,1.41284179688
0.131,1125.94072266
0.132,1245.5142334
0.133,142.155432129
0.134,0.94189453125
0.135,669.828295898
0.136,1246.9270752
0.137,678.30534668
0.138,0.94189453125
0.139,167.092089844
0.14,1245.5142334
0.141,1148.07524414
0.142,1.41284179688
0.143,1.41284179688
0.144,1085.93375244
0.145,1245.04328613
0.146,209.924743652
0.147,0.94189453125
0.148,601.564489746
0.149,1247.39802246
0.15,746.074658203
0.151,0.94189453125
0.152,111.543859863
0.153,1245.04328613
0.154,1194.20452881
0.155,1.41284179688
0.156,1.8837890625
0.157,1041.21730957
0.158,1245.98518066
0.159,277.246655273
0.16,1.41284179688
0.161,535.20802002
0.162,1246.45612793
0.163,810.57088623
0.164,0.94189453125
0.165,60.2341552734
0.166,1244.57233887
0.167,1236.09528809
0.168,1.41284179688
0.169,1.41284179688
0.17,987.081921387
0.171,1246.45612793
0.172,344.097619629
0.173,0.94189453125
0.174,472.595581055
0.175,1245.98518066
0.176,868.473852539
0.177,0.94189453125
0.178,16.9305541992
0.179,1231.8567627
0.18,1245.98518066
0.181,1.41284179688
0.182,1.41284179688
0.183,931.062744141
0.184,1246.9270752
0.185,410.925036621
0.186,0.94189453125
0.187,403.389880371
0.188,1245.04328613
0.189,935.301269531
0.19,0.94189453125
0.191,1.41284179688
0.192,1208.33294678
0.193,1245.98518066
0.194,1.41284179688
0.195,0.94189453125
0.196,858.583959961
0.197,1246.9270752
0.198,484.369262695
0.199,0.94189453125
0.2,337.975305176
0.201,1245.5142334
0.202,995.558972168
0.203,0.94189453125
0.204,1.41284179688
0.205,1183.3727417
0.206,1245.98518066
0.207,22.5819213867
0.208,0.94189453125
0.209,792.674890137
0.21,1246.9270752
0.211,553.551416016
0.212,1.41284179688
0.213,275.833813477
0.214,1245.5142334
0.215,1051.57814941
0.216,0.94189453125
0.217,1.41284179688
0.218,1154.66850586
0.219,1246.9270752
0.22,85.6653076172
0.221,1.41284179688
0.222,727.260314941
0.223,1245.98518066
0.224,621.815222168
0.225,0.94189453125
0.226,216.047058105
0.227,1246.9270752
0.228,1105.24259033
0.229,1.41284179688
0.23,1.41284179688
0.231,1120.28935547
0.232,1247.39802246
0.233,151.103430176
0.234,1.41284179688
0.235,660.880297852
0.236,1245.04328613
0.237,687.700744629
0.238,0.94189453125
0.239,159.085986328
0.24,1247.39802246
0.241,1154.19755859
0.242,1.41284179688
0.243,1.41284179688
0.244,1081.22427979
0.245,1247.39802246
0.246,217.930847168
0.247,1.41284179688
0.248,593.55838623
0.249,1245.98518066
0.25,753.609814453
0.251,0.94189453125
0.252,105.445092773
0.253,1246.9270752
0.254,1199.38494873
0.255,1.41284179688
0.256,1.41284179688
0.257,1035.09499512
0.258,1246.9270752
0.259,285.252758789
0.26,0.94189453125
0.261,527.67286377
0.262,1245.98518066
0.263,817.635095215
0.264,0.94189453125
0.265,55.0772827148
0.266,1244.57233887
0.267,1240.33381348
0.268,1.41284179688
0.269,1.41284179688
0.27,985.198132324
0.271,1245.5142334
0.272,341.742883301
0.273,0.94189453125
0.274,473.06652832
0.275,1246.45612793
0.276,873.183325195
0.277,1.41284179688
0.278,8.94799804688
0.279,1229.0310791
0.28,1247.39802246
0.281,1.41284179688
0.282,1.41284179688
0.283,919.312609863
0.284,1245.04328613
0.285,419.873034668
0.286,0.94189453125
0.287,397.738513184
0.288,1246.9270752
0.289,940.481689453
0.29,1.41284179688
0.291,1.41284179688
0.292,1206.92010498
0.293,1247.39802246
0.294,1.41284179688
0.295,1.41284179688
0.296,854.816381836
0.297,1245.5142334
0.298,488.13684082
0.299,0.94189453125
0.3,334.678674316
0.301,1246.9270752
0.302,998.384655762
0.303,0.94189453125
0.304,1.41284179688
0.305,1182.43084717
0.306,1246.9270752
0.307,25.4076049805
0.308,1.41284179688
0.309,790.320153809
0.31,1245.98518066
0.311,555.906152344
0.312,0.94189453125
0.313,273.479077148
0.314,1246.9270752
0.315,1053.46193848
0.316,0.94189453125
0.317,1.41284179688
0.318,1153.25566406
0.319,1245.98518066
0.32,88.0200439453
0.321,0.94189453125
0.322,724.905578613
0.323,1246.45612793
0.324,623.69901123
0.325,0.94189453125
0.326,214.634216309
0.327,1245.04328613
0.328,1106.65543213
0.329,1.41284179688
0.33,0.94189453125
0.331,1119.3710083
0.332,1245.04328613
0.333,153.458166504
0.334,0.94189453125
0.335,658.525561523
0.336,1246.9270752
0.337,689.584533691
0.338,0.94189453125
0.339,157.673144531
0.34,1245.5142334
0.341,1155.13945313
0.342,0.94189453125
0.343,1.41284179688
0.344,1081.22427979
0.345,1245.04328613
0.346,217.459899902
0.347,1.41284179688
0.348,598.738806152
0.349,1246.9270752
0.35,743.719921875
0.351,0.94189453125
0.352,114.840490723
0.353,1245.5142334
0.354,1189.02410889
0.355,1.41284179688
0.356,1.8837890625
0.357,1036.03688965
0.358,1245.5142334
0.359,287.136547852
0.36,0.94189453125
0.361,526.260021973
0.362,1246.45612793
0.363,819.989831543
0.364,0.94189453125
0.365,52.7225463867
0.366,1243.63044434
0.367,1243.63044434
0.368,1.41284179688
0.369,1.41284179688
0.37,977.662976074
0.371,1246.9270752
0.372,355.376806641
0.373,0.94189453125
0.374,459.409057617
0.375,1245.04328613
0.376,882.578723145
0.377,0.94189453125
0.378,1.8837890625
0.379,1227.14729004
0.38,1245.04328613
0.381,1.41284179688
0.382,1.41284179688
0.383,915.545031738
0.384,1246.9270752
0.385,423.640612793
0.386,0.94189453125
0.387,394.465429687
0.388,1245.04328613
0.389,942.836425781
0.39,1.41284179688
0.391,1.41284179688
0.392,1205.97821045
0.393,1245.98518066
0.394,1.41284179688
0.395,1.41284179688
0.396,851.519750977
0.397,1247.39802246
0.398,491.43347168
0.399,1.41284179688
0.4,331.382043457
0.401,1245.98518066
0.402,1001.21033936
0.403,0.94189453125
0.404,1.8837890625
0.405,1180.54705811
0.406,1245.98518066
0.407,28.7042358398
0.408,1.41284179688
0.409,786.081628418
0.41,1246.9270752
0.411,560.615625
0.412,0.94189453125
0.413,269.711499023
0.414,1245.04328613
0.415,1057.2295166
0.416,0.94189453125
0.417,1.41284179688
0.418,1151.371875
0.419,1246.9270752
0.42,92.7295166016
0.421,0.94189453125
0.422,720.196105957
0.423,1245.04328613
0.424,627.937536621
0.425,1.41284179688
0.426,210.866638184
0.427,1246.45612793
0.428,1109.01016846
0.429,0.94189453125
0.43,1.41284179688
0.431,1119.8184082
0.432,1247.39802246
0.433,147.806799316
0.434,0.94189453125
0.435,659.93840332
0.436,1245.04328613
0.437,692.881164551
0.438,0.94189453125
0.439,154.871008301
0.44,1246.9270752
0.441,1158.90703125
