"Latest: Time (s)","Latest: Potential (mV)"
0,1.41284179688
0.001,0.94189453125
0.002,1.41284179688
0.003,605.332067871
0.004,1246.45612793
0.005,1246.9270752
0.006,1245.98518066
0.007,310.189416504
0.008,0.94189453125
0.009,1.41284179688
0.01,1.41284179688
0.011,912.248400879
0.012,1246.9270752
0.013,1246.45612793
0.014,999.326550293
0.015,5.18041992188
0.016,0.94189453125
0.017,1.41284179688
0.018,226.878845215
0.019,1181.9598999
0.02,1247.39802246
0.021,1246.45612793
0.022,706.067687988
0.023,1.41284179688
0.024,0.94189453125
0.025,1.41284179688
0.026,526.730969238
0.027,1245.98518066
0.028,1246.9270752
0.029,1246.45612793
0.03,389.755957031
0.031,0.94189453125
0.032,0.94189453125
0.033,1.8837890625
0.034,836.920385742
0.035,1245.04328613
0.036,1246.9270752
0.037,1067.11940918
0.038,78.1301513672
0.039,0.94189453125
0.04,1.41284179688
0.041,157.202197266
0.042,1128.29545898
0.043,1245.5142334
0.044,1247.39802246
0.045,782.314050293
0.046,1.41284179688
0.047,0.94189453125
0.048,1.41284179688
0.049,448.577270508
0.05,1246.45612793
0.051,1245.04328613
0.052,1247.39802246
0.053,469.769897461
0.054,1.41284179688
0.055,0.470947265625
0.056,1.41284179688
0.057,759.261181641
0.058,1246.45612793
0.059,1245.5142334
0.06,1131.12114258
0.061,155.341955566
0.062,0.94189453125
0.063,0.94189453125
0.064,90.8457275391
0.065,1058.17141113
0.066,1246.45612793
0.067,1245.5142334
0.068,857.64206543
0.069,1.8837890625
0.07,0.94189453125
0.071,1.41284179688
0.072,372.801855469
0.073,1247.39802246
0.074,1245.98518066
0.075,1245.98518066
0.076,550.254785156
0.077,1.41284179688
0.078,0.470947265625
0.079,1.41284179688
0.08,681.601977539
0.081,1247.39802246
0.082,1245.04328613
0.083,1190.43695068
0.084,233.001159668
0.085,0.94189453125
0.086,0.94189453125
0.087,29.1751831055
0.088,984.727185059
0.089,1246.9270752
0.09,1245.04328613
0.091,932.004638672
0.092,1.41284179688
0.093,0.94189453125
0.094,0.94189453125
0.095,296.084545898
0.096,1221.96687012
0.097,1247.39802246
0.098,1245.98518066
0.099,630.292272949
0.1,1.41284179688
0.101,0.94189453125
0.102,1.41284179688
0.103,601.09354248
0.104,1245.98518066
0.105,1246.9270752
0.106,1246.45612793
0.107,314.427941895
0.108,0.94189453125
0.109,1.41284179688
0.11,1.41284179688
0.111,908.480822754
0.112,1245.98518066
0.113,1246.9270752
0.114,1002.62318115
0.115,7.53515625
0.116,0.470947265625
0.117,0.94189453125
0.118,223.582214355
0.119,1179.60516357
0.12,1245.98518066
0.121,1246.45612793
0.122,709.364318848
0.123,1.41284179688
0.124,0.94189453125
0.125,1.41284179688
0.126,522.492443848
0.127,1245.5142334
0.128,1246.45612793
0.129,1246.9270752
0.13,393.523535156
0.131,0.94189453125
0.132,0.94189453125
0.133,1.8837890625
0.134,831.73996582
0.135,1245.04328613
0.136,1246.9270752
0.137,1071.80533447
0.138,82.8396240234
0.139,0.94189453125
0.14,0.94189453125
0.141,152.516271973
0.142,1123.11503906
0.143,1245.04328613
0.144,1247.39802246
0.145,787.96541748
0.146,1.41284179688
0.147,0.470947265625
0.148,1.41284179688
0.149,442.949450684
0.15,1246.9270752
0.151,1245.04328613
0.152,1247.39802246
0.153,475.421264648
0.154,1.41284179688
0.155,0.94189453125
0.156,1.41284179688
0.157,754.080761719
0.158,1246.9270752
0.159,1245.04328613
0.16,1136.3015625
0.161,161.440722656
0.162,0.94189453125
0.163,0.94189453125
0.164,85.6653076172
0.165,1052.52004395
0.166,1246.45612793
0.167,1245.04328613
0.168,863.764379883
0.169,1.41284179688
0.17,0.94189453125
0.171,1.41284179688
0.172,366.20859375
0.173,1246.9270752
0.174,1246.9270752
0.175,1245.98518066
0.176,556.848046875
0.177,0.94189453125
0.178,0.94189453125
0.179,1.41284179688
0.18,675.00871582
0.181,1247.39802246
0.182,1246.45612793
0.183,1196.08831787
0.184,239.594421387
0.185,0.94189453125
0.186,0.94189453125
0.187,24.9366577148
0.188,979.546765137
0.189,1247.39802246
0.19,1245.98518066
0.191,936.714111328
0.192,1.41284179688
0.193,0.94189453125
0.194,0.94189453125
0.195,292.316967773
0.196,1219.61213379
0.197,1247.39802246
0.198,1245.98518066
0.199,634.53079834
0.2,0.94189453125
0.201,0.94189453125
0.202,1.41284179688
0.203,596.85501709
0.204,1245.98518066
0.205,1247.39802246
0.206,1246.45612793
0.207,317.724572754
0.208,0.94189453125
0.209,0.94189453125
0.21,1.41284179688
0.211,906.126086426
0.212,1245.98518066
0.213,1247.39802246
0.214,1004.03602295
0.215,8.47705078125
0.216,0.94189453125
0.217,1.41284179688
0.218,223.582214355
0.219,1179.60516357
0.22,1245.04328613
0.221,1246.9270752
0.222,709.835266113
0.223,1.41284179688
0.224,0.94189453125
0.225,1.41284179688
0.226,522.963391113
0.227,1245.98518066
0.228,1245.98518066
0.229,1247.39802246
0.23,393.994482422
0.231,1.41284179688
0.232,0.94189453125
0.233,1.41284179688
0.234,832.681860352
0.235,1245.5142334
0.236,1245.98518066
0.237,1070.41604004
0.238,81.8977294922
0.239,0.94189453125
0.24,0.94189453125
0.241,153.92911377
0.242,1124.52788086
0.243,1245.98518066
0.244,1245.98518066
0.245,785.610681152
0.246,0.94189453125
0.247,0.94189453125
0.248,1.41284179688
0.249,445.751586914
0.25,1246.9270752
0.251,1245.5142334
0.252,1247.39802246
0.253,473.537475586
0.254,0.94189453125
0.255,0.94189453125
0.256,1.41284179688
0.257,755.493603516
0.258,1246.9270752
0.259,1245.04328613
0.26,1135.35966797
0.261,160.027880859
0.262,0.470947265625
0.263,0.94189453125
0.264,86.6072021484
0.265,1052.99099121
0.266,1246.9270752
0.267,1245.04328613
0.268,862.351538086
0.269,1.8837890625
0.27,0.94189453125
0.271,1.41284179688
0.272,367.621435547
0.273,1245.98518066
0.274,1246.9270752
0.275,1245.5142334
0.276,555.906152344
0.277,0.94189453125
0.278,0.94189453125
0.279,1.41284179688
0.28,675.00871582
0.281,1246.9270752
0.282,1246.45612793
0.283,1196.08831787
0.284,240.065368652
0.285,0.94189453125
0.286,0.94189453125
0.287,23.9947631836
0.288,978.604870605
0.289,1247.39802246
0.29,1246.45612793
0.291,937.185058594
0.292,1.41284179688
0.293,0.94189453125
0.294,1.41284179688
0.295,290.904125977
0.296,1219.14118652
0.297,1247.39802246
0.298,1246.45612793
0.299,636.414587402
0.3,0.94189453125
0.301,0.94189453125
0.302,1.41284179688
0.303,594.971228027
0.304,1245.04328613
0.305,1246.9270752
0.306,1246.45612793
0.307,320.550256348
0.308,0.94189453125
0.309,0.94189453125
0.31,1.41284179688
0.311,902.829455566
0.312,1245.04328613
0.313,1247.39802246
0.314,1008.74549561
0.315,12.221081543
0.316,0.470947265625
0.317,1.41284179688
0.318,217.459899902
0.319,1175.83758545
0.32,1245.98518066
0.321,1246.9270752
0.322,716.428527832
0.323,1.41284179688
0.324,0.470947265625
0.325,1.41284179688
0.326,515.899182129
0.327,1246.45612793
0.328,1244.57233887
0.329,1247.39802246
0.33,400.093249512
0.331,0.94189453125
0.332,0.94189453125
0.333,1.41284179688
0.334,827.054040527
0.335,1246.45612793
0.336,1245.04328613
0.337,1075.5729126
0.338,86.6072021484
0.339,0.94189453125
0.34,0.94189453125
0.341,150.161535645
0.342,1121.23125
0.343,1245.98518066
0.344,1245.04328613
0.345,789.378259277
0.346,1.41284179688
0.347,0.94189453125
0.348,0.94189453125
0.349,441.536608887
0.35,1246.9270752
0.351,1245.98518066
0.352,1245.98518066
0.353,476.834106445
0.354,0.94189453125
0.355,0.94189453125
0.356,1.41284179688
0.357,754.551708984
0.358,1247.39802246
0.359,1245.98518066
0.36,1133.94682617
0.361,159.085986328
0.362,0.94189453125
0.363,0.94189453125
0.364,90.3747802734
0.365,1055.8166748
0.366,1247.39802246
0.367,1245.04328613
0.368,858.583959961
0.369,1.41284179688
0.37,0.470947265625
0.371,1.41284179688
0.372,370.447119141
0.373,1245.04328613
0.374,1246.9270752
