"Latest: Time (s)","Latest: Potential (mV)"
0,1150.90092773
0.001,1012.04212646
0.002,1.41284179688
0.003,519.666760254
0.004,1247.39802246
0.005,90.3747802734
0.006,1.41284179688
0.007,1213.04241943
0.008,855.758276367
0.009,1.41284179688
0.01,696.648742676
0.011,1245.04328613
0.012,1.8837890625
0.013,2.82568359375
0.014,1245.04328613
0.015,684.898608398
0.016,0.94189453125
0.017,868.473852539
0.018,1246.9270752
0.019,0.94189453125
0.02,138.387854004
0.021,1246.45612793
0.022,505.538342285
0.023,1.41284179688
0.024,1019.57728271
0.025,1187.14031982
0.026,1.41284179688
0.027,292.316967773
0.028,1247.39802246
0.029,324.317834473
0.03,1.41284179688
0.031,1123.11503906
0.032,1061.46804199
0.033,1.41284179688
0.034,459.880004883
0.035,1245.04328613
0.036,147.806799316
0.037,1.8837890625
0.038,1194.67547607
0.039,910.835559082
0.04,1.41284179688
0.041,636.414587402
0.042,1246.9270752
0.043,2.35473632813
0.044,1.41284179688
0.045,1242.6885498
0.046,744.190869141
0.047,1.41284179688
0.048,811.041833496
0.049,1245.98518066
0.05,1.41284179688
0.051,90.8457275391
0.052,1247.39802246
0.053,567.208886719
0.054,1.41284179688
0.055,972.977050781
0.056,1223.85065918
0.057,1.41284179688
0.058,236.768737793
0.059,1245.5142334
0.06,386.930273437
0.061,1.41284179688
0.062,1092.05606689
0.063,1108.06827393
0.064,1.41284179688
0.065,401.035144043
0.066,1246.9270752
0.067,208.04095459
0.068,0.94189453125
0.069,1173.01190186
0.07,965.441894531
0.071,0.94189453125
0.072,575.214990234
0.073,1245.98518066
0.074,37.6522338867
0.075,1.41284179688
0.076,1228.56013184
0.077,803.03572998
0.078,1.41284179688
0.079,752.196972656
0.08,1246.45612793
0.081,1.41284179688
0.082,47.5421264648
0.083,1245.98518066
0.084,626.99564209
0.085,0.94189453125
0.086,922.609240723
0.087,1247.39802246
0.088,0.94189453125
0.089,185.929980469
0.09,1247.39802246
0.091,446.22253418
0.092,1.41284179688
0.093,1057.70046387
0.094,1149.48808594
0.095,1.41284179688
0.096,345.510461426
0.097,1245.98518066
0.098,265.943920898
0.099,1.41284179688
0.1,1149.48808594
0.101,1014.39686279
0.102,1.41284179688
0.103,516.84107666
0.104,1246.45612793
0.105,93.2004638672
0.106,1.41284179688
0.107,1212.1005249
0.108,858.583959961
0.109,0.94189453125
0.11,693.823059082
0.111,1247.86896973
0.112,1.41284179688
0.113,1.8837890625
0.114,1246.45612793
0.115,688.171691895
0.116,1.41284179688
0.117,866.119116211
0.118,1245.98518066
0.119,1.41284179688
0.12,136.033117676
0.121,1245.04328613
0.122,507.893078613
0.123,1.41284179688
0.124,1018.16444092
0.125,1188.55316162
0.126,1.41284179688
0.127,292.316967773
0.128,1246.9270752
0.129,324.788781738
0.13,1.41284179688
0.131,1122.6440918
0.132,1061.46804199
0.133,1.41284179688
0.134,459.880004883
0.135,1246.45612793
0.136,148.748693848
0.137,1.41284179688
0.138,1194.67547607
0.139,911.306506348
0.14,0.94189453125
0.141,635.472692871
0.142,1245.98518066
0.143,2.82568359375
0.144,1.41284179688
0.145,1242.6885498
0.146,745.132763672
0.147,0.94189453125
0.148,809.628991699
0.149,1247.39802246
0.15,1.41284179688
0.151,90.8457275391
0.152,1246.45612793
0.153,567.679833984
0.154,0.94189453125
0.155,972.977050781
0.156,1223.85065918
0.157,1.41284179688
0.158,236.768737793
0.159,1245.98518066
0.16,387.401220703
0.161,1.41284179688
0.162,1092.05606689
0.163,1108.06827393
0.164,1.41284179688
0.165,400.093249512
0.166,1245.04328613
0.167,208.511901855
0.168,1.41284179688
0.169,1172.54095459
0.17,964.970947266
0.171,0.94189453125
0.172,574.273095703
0.173,1247.39802246
0.174,39.0650756836
0.175,1.41284179688
0.176,1228.08918457
0.177,804.448571777
0.178,1.41284179688
0.179,750.313183594
0.18,1245.5142334
0.181,1.41284179688
0.182,45.6583374023
0.183,1245.98518066
0.184,629.821325684
0.185,0.94189453125
0.186,919.783557129
0.187,1246.9270752
0.188,1.41284179688
0.189,183.104296875
0.19,1245.98518066
0.191,450.46105957
0.192,0.94189453125
0.193,1055.34572754
0.194,1152.31376953
0.195,0.94189453125
0.196,341.271936035
0.197,1247.39802246
0.198,270.182446289
0.199,1.8837890625
0.2,1148.07524414
0.201,1017.69349365
0.202,0.94189453125
0.203,512.60255127
0.204,1245.04328613
0.205,96.9680419922
0.206,1.41284179688
0.207,1211.15863037
0.208,862.351538086
0.209,1.41284179688
0.21,689.584533691
0.211,1246.9270752
0.212,1.8837890625
0.213,1.41284179688
0.214,1246.45612793
0.215,692.410217285
0.216,0.94189453125
0.217,861.88059082
0.218,1246.45612793
0.219,1.41284179688
0.22,132.736486816
0.221,1246.9270752
0.222,512.60255127
0.223,1.41284179688
0.224,1014.39686279
