"Latest: Time (s)","Latest: Potential (mV)"
0,1104.77164307
0.001,0.94189453125
0.002,508.364025879
0.003,1245.98518066
0.004,7.53515625
0.005,2.82568359375
0.006,1245.04328613
0.007,576.627832031
0.008,1.41284179688
0.009,1043.10109863
0.01,1105.7135376
0.011,1.41284179688
0.012,507.422131348
0.013,1246.45612793
0.014,7.06420898438
0.015,2.35473632813
0.016,1245.98518066
0.017,577.098779297
0.018,1.41284179688
0.019,1042.63015137
0.02,1105.7135376
0.021,0.94189453125
0.022,507.422131348
0.023,1246.9270752
0.024,8.00610351563
0.025,2.35473632813
0.026,1246.9270752
0.027,578.040673828
0.028,1.41284179688
0.029,1041.68825684
0.03,1106.18448486
0.031,0.94189453125
0.032,506.951184082
0.033,1245.98518066
0.034,7.53515625
0.035,2.35473632813
0.036,1246.9270752
0.037,578.511621094
0.038,1.41284179688
0.039,1041.68825684
0.04,1107.12637939
0.041,0.94189453125
0.042,506.951184082
0.043,1245.98518066
0.044,8.00610351563
0.045,2.35473632813
0.046,1245.5142334
0.047,578.511621094
0.048,1.41284179688
0.049,1042.1592041
0.05,1105.7135376
0.051,0.94189453125
0.052,506.951184082
0.053,1246.9270752
0.054,7.53515625
0.055,2.35473632813
0.056,1245.98518066
0.057,577.098779297
0.058,1.41284179688
0.059,1043.10109863
0.06,1105.7135376
0.061,1.41284179688
0.062,509.30592041
0.063,1247.39802246
0.064,6.12231445313
0.065,10.8317871094
0.066,1246.9270752
0.067,568.15078125
0.068,1.41284179688
0.069,1046.86867676
0.07,1100.06217041
0.071,1.41284179688
0.072,513.073498535
0.073,1245.04328613
0.074,5.6513671875
0.075,5.18041992188
0.076,1245.98518066
0.077,575.214990234
0.078,1.41284179688
0.079,1043.10109863
0.08,1105.24259033
0.081,0.94189453125
0.082,507.422131348
0.083,1245.98518066
0.084,7.53515625
0.085,1.8837890625
0.086,1245.04328613
0.087,578.511621094
0.088,1.41284179688
0.089,1041.68825684
0.09,1106.65543213
0.091,0.94189453125
0.092,506.951184082
0.093,1246.9270752
0.094,8.47705078125
0.095,1.8837890625
0.096,1246.45612793
0.097,579.453515625
0.098,1.41284179688
0.099,1041.21730957
0.1,1107.59732666
0.101,0.94189453125
0.102,505.538342285
0.103,1247.39802246
0.104,8.94799804688
0.105,1.8837890625
0.106,1247.39802246
0.107,579.924462891
0.108,1.41284179688
0.109,1041.21730957
0.11,1108.06827393
0.111,0.94189453125
0.112,505.06739502
0.113,1245.04328613
0.114,8.94799804688
0.115,1.8837890625
0.116,1245.04328613
0.117,578.982568359
0.118,1.41284179688
0.119,1041.68825684
0.12,1106.65543213
0.121,1.41284179688
0.122,507.422131348
0.123,1246.45612793
0.124,7.06420898438
0.125,6.12231445313
0.126,1245.98518066
0.127,574.744042969
0.128,1.41284179688
0.129,1045.45583496
0.13,1101.00406494
0.131,0.94189453125
0.132,518.253918457
0.133,1247.39802246
0.134,3.767578125
0.135,12.6920288086
0.136,1246.45612793
0.137,571.918359375
0.138,1.41284179688
0.139,1043.10109863
0.14,1106.18448486
0.141,0.94189453125
0.142,505.06739502
0.143,1245.98518066
0.144,8.94799804688
0.145,1.8837890625
0.146,1246.9270752
0.147,580.866357422
0.148,1.8837890625
0.149,1039.80446777
0.15,1108.53922119
0.151,0.94189453125
0.152,503.654553223
0.153,1245.98518066
0.154,10.3608398438
0.155,1.41284179688
0.156,1245.5142334
0.157,581.808251953
0.158,1.41284179688
0.159,1039.80446777
0.16,1109.48111572
0.161,0.94189453125
0.162,502.712658691
0.163,1246.9270752
0.164,10.8317871094
0.165,1.41284179688
0.166,1245.98518066
0.167,582.279199219
0.168,1.41284179688
0.169,1039.33352051
0.17,1109.95206299
0.171,0.94189453125
0.172,502.712658691
0.173,1247.39802246
0.174,11.2791870117
0.175,1.41284179688
0.176,1246.9270752
0.177,583.692041016
0.178,1.41284179688
0.179,1038.86257324
0.18,1110.42301025
0.181,0.94189453125
0.182,501.77076416
0.183,1245.98518066
0.184,10.8317871094
0.185,1.41284179688
0.186,1245.98518066
0.187,584.162988281
0.188,1.41284179688
0.189,1038.86257324
0.19,1110.42301025
0.191,1.41284179688
0.192,501.77076416
0.193,1245.98518066
0.194,11.7501342773
0.195,1.41284179688
0.196,1245.98518066
0.197,584.633935547
0.198,1.41284179688
0.199,1037.92067871
0.2,1110.42301025
0.201,1.41284179688
0.202,501.299816895
0.203,1247.39802246
0.204,11.7501342773
0.205,1.41284179688
0.206,1246.9270752
0.207,584.633935547
0.208,1.41284179688
0.209,1038.39162598
0.21,1110.89395752
0.211,1.41284179688
0.212,501.299816895
0.213,1246.9270752
0.214,11.7501342773
0.215,1.8837890625
0.216,1246.9270752
0.217,583.692041016
0.218,1.41284179688
0.219,1038.86257324
0.22,1109.95206299
0.221,1.41284179688
0.222,504.125500488
0.223,1245.98518066
0.224,8.00610351563
0.225,5.18041992188
0.226,1245.04328613
0.227,578.040673828
0.228,1.41284179688
0.229,1042.1592041
0.23,1107.12637939
0.231,0.470947265625
0.232,505.06739502
0.233,1246.9270752
0.234,9.4189453125
0.235,1.41284179688
0.236,1245.98518066
0.237,582.279199219
0.238,1.41284179688
0.239,1039.33352051
0.24,1109.48111572
0.241,0.94189453125
0.242,502.241711426
0.243,1247.39802246
0.244,11.7501342773
0.245,1.41284179688
0.246,1246.9270752
0.247,584.162988281
0.248,0.94189453125
0.249,1037.92067871
0.25,1110.42301025
0.251,0.94189453125
0.252,500.828869629
0.253,1245.98518066
0.254,12.221081543
0.255,1.41284179688
0.256,1246.9270752
0.257,585.104882813
0.258,1.41284179688
0.259,1037.44973145
0.26,1111.36490479
0.261,0.94189453125
0.262,500.357922363
0.263,1245.5142334
0.264,12.6920288086
0.265,1.41284179688
0.266,1245.04328613
0.267,585.575830078
0.268,1.41284179688
0.269,1037.44973145
0.27,1111.83585205
0.271,0.94189453125
0.272,499.886975098
0.273,1246.9270752
0.274,12.221081543
0.275,1.41284179688
0.276,1246.45612793
0.277,585.104882813
0.278,1.41284179688
0.279,1038.86257324
0.28,1109.48111572
0.281,0.94189453125
0.282,503.654553223
0.283,1247.39802246
0.284,9.4189453125
0.285,2.35473632813
0.286,1246.9270752
0.287,576.627832031
0.288,1.41284179688
0.289,1045.45583496
0.29,1102.887854
0.291,0.94189453125
0.292,507.893078613
0.293,1245.5142334
0.294,9.4189453125
0.295,1.41284179688
0.296,1245.5142334
0.297,585.104882813
0.298,1.41284179688
0.299,1036.50783691
0.3,1112.30679932
0.301,0.94189453125
0.302,498.474133301
0.303,1245.98518066
0.304,13.6339233398
0.305,1.41284179688
0.306,1245.98518066
0.307,587.459619141
0.308,1.41284179688
0.309,1036.50783691
0.31,1112.77774658
0.311,1.41284179688
0.312,498.474133301
0.313,1246.9270752
0.314,14.5758178711
0.315,1.8837890625
0.316,1246.9270752
0.317,587.930566406
0.318,1.41284179688
0.319,1035.56594238
0.32,1113.71964111
0.321,0.94189453125
0.322,497.061291504
0.323,1246.9270752
0.324,15.0467651367
0.325,1.41284179688
0.326,1246.9270752
0.327,589.31986084
0.328,1.41284179688
0.329,1035.09499512
0.33,1114.19058838
0.331,0.94189453125
0.332,496.590344238
0.333,1245.04328613
0.334,14.5758178711
0.335,1.41284179688
0.336,1245.04328613
0.337,589.31986084
0.338,1.41284179688
0.339,1035.09499512
0.34,1114.66153564
0.341,1.41284179688
0.342,496.590344238
0.343,1246.45612793
0.344,15.5177124023
0.345,1.41284179688
0.346,1245.5142334
0.347,589.790808105
0.348,1.41284179688
0.349,1034.62404785
0.35,1114.66153564
0.351,1.41284179688
0.352,495.648449707
0.353,1247.39802246
0.354,15.5177124023
0.355,1.8837890625
0.356,1246.9270752
0.357,589.790808105
0.358,1.41284179688
0.359,1034.62404785
0.36,1115.60343018
0.361,0.94189453125
0.362,495.648449707
0.363,1245.5142334
0.364,15.5177124023
0.365,1.41284179688
0.366,1246.9270752
0.367,589.790808105
0.368,1.41284179688
0.369,1034.15310059
0.37,1114.66153564
0.371,1.41284179688
0.372,495.648449707
0.373,1245.5142334
0.374,15.5177124023
0.375,1.41284179688
0.376,1245.04328613
0.377,589.31986084
0.378,1.41284179688
0.379,1036.03688965
0.38,1111.36490479
0.381,1.41284179688
0.382,501.77076416
0.383,1247.39802246
0.384,11.7501342773
0.385,1.41284179688
0.386,1246.45612793
0.387,584.633935547
0.388,1.41284179688
0.389,1037.44973145
0.39,1111.36490479
0.391,0.94189453125
0.392,499.416027832
0.393,1247.39802246
0.394,13.6339233398
0.395,1.41284179688
0.396,1247.39802246
0.397,587.459619141
0.398,1.41284179688
0.399,1036.03688965
0.4,1112.77774658
0.401,1.41284179688
0.402,497.53223877
0.403,1245.04328613
0.404,14.5758178711
0.405,1.41284179688
0.406,1245.04328613
0.407,588.872460938
0.408,1.8837890625
0.409,1035.09499512
0.41,1114.19058838
0.411,1.41284179688
0.412,495.648449707
0.413,1245.98518066
0.414,15.5177124023
0.415,1.41284179688
0.416,1245.04328613
0.417,589.31986084
0.418,0.94189453125
0.419,1034.15310059
0.42,1114.66153564
0.421,1.41284179688
0.422,495.648449707
0.423,1246.9270752
0.424,15.5177124023
0.425,1.41284179688
0.426,1246.9270752
0.427,590.261755371
