"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0,-0.107555389404,-2.13756561279,0.964546203613
0.001,-0.0297737121582,-0.593566894531,1.86786651611
0.002,0.0594329833984,1.18274688721,2.05459594727
0.003,0.124988555908,2.49805450439,1.46007537842
0.004,0.143280029297,2.8600692749,0.305366516113
0.005,0.10669708252,2.13203430176,-0.96378326416
0.006,0.0285530090332,0.588226318359,-1.86328887939
0.007,-0.0598907470703,-1.18827819824,-2.04620361328
0.008,-0.125846862793,-2.49195098877,-1.4554977417
0.009,-0.144519805908,-2.85797119141,-0.304412841797
0.01,-0.107555389404,-2.13375091553,0.960731506348
0.011,-0.0297737121582,-0.5859375,1.86405181885
0.012,0.0594329833984,1.18274688721,2.05078125
0.013,0.124988555908,2.50186920166,1.45626068115
0.014,0.143280029297,2.86769866943,0.312995910645
0.015,0.10669708252,2.13584899902,-0.952339172363
0.016,0.0285530090332,0.588226318359,-1.85565948486
0.017,-0.0598907470703,-1.18064880371,-2.04620361328
0.018,-0.12622833252,-2.4995803833,-1.45931243896
0.019,-0.144138336182,-2.86560058594,-0.312042236328
0.02,-0.107555389404,-2.13756561279,0.953102111816
0.021,-0.0297737121582,-0.593566894531,1.86023712158
0.022,0.0590515136719,1.17893218994,2.05841064453
0.023,0.124988555908,2.49423980713,1.46007537842
0.024,0.143280029297,2.86388397217,0.305366516113
0.025,0.10669708252,2.13584899902,-0.959968566895
0.026,0.0285530090332,0.592041015625,-1.86328887939
0.027,-0.0598907470703,-1.17683410645,-2.05001831055
0.028,-0.12622833252,-2.49195098877,-1.4554977417
0.029,-0.144519805908,-2.85797119141,-0.304412841797
0.03,-0.107173919678,-2.13375091553,0.960731506348
0.031,-0.0297737121582,-0.589752197266,1.86023712158
0.032,0.0590515136719,1.17893218994,2.05078125
0.033,0.124988555908,2.49805450439,1.45626068115
0.034,0.143280029297,2.86388397217,0.305366516113
0.035,0.106315612793,2.13584899902,-0.959968566895
0.036,0.0289344787598,0.592041015625,-1.86328887939
0.037,-0.0598907470703,-1.18446350098,-2.04620361328
0.038,-0.125846862793,-2.4995803833,-1.45168304443
0.039,-0.144519805908,-2.8694152832,-0.308227539063
0.04,-0.107173919678,-2.14138031006,0.956916809082
0.041,-0.0297737121582,-0.593566894531,1.86023712158
0.042,0.0594329833984,1.17893218994,2.05078125
