"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
0,,,-0.59928894043
0.001,,,-0.603103637695
0.002,,,-0.603103637695
0.003,,,-0.603103637695
0.004,,,-0.603103637695
0.005,,,-0.595474243164
0.006,,,-0.603103637695
0.007,,,-0.603103637695
0.008,,,-0.603103637695
0.009,,,-0.603103637695
0.01,,,-0.603103637695
0.011,,,-0.603103637695
0.012,,,-0.603103637695
0.013,,,-0.603103637695
0.014,,,-0.603103637695
0.015,,,-0.603103637695
0.016,,,-0.603103637695
0.017,,,-0.603103637695
0.018,,,-0.59928894043
0.019,,,-0.603103637695
0.02,,,-0.606918334961
0.021,,,3.36818695068
0.022,,,1.57680511475
0.023,,,0.955581665039
0.024,,,0.745964050293
0.025,,,0.669860839844
0.026,,,0.64697265625
0.027,,,0.639343261719
0.028,,,0.639343261719
0.029,,,0.635528564453
0.03,,,0.635528564453
0.031,,,0.635528564453
0.032,,,0.631713867188
0.033,,,0.631713867188
0.034,,,0.631713867188
0.035,,,0.631713867188
0.036,,,0.631713867188
0.037,,,0.631713867188
0.038,,,0.631713867188
0.039,,,0.631713867188
0.04,,,0.631713867188
0.041,,,0.631713867188
0.042,,,0.627899169922
0.043,,,0.631713867188
0.044,,,0.627899169922
0.045,,,0.627899169922
0.046,,,0.627899169922
0.047,,,0.627899169922
0.048,,,0.631713867188
0.049,,,0.631713867188
0.05,,,0.627899169922
0.051,,,0.631713867188
0.052,,,0.631713867188
0.053,,,0.631713867188
0.054,,,0.627899169922
0.055,,,0.631713867188
0.056,,,0.627899169922
0.057,,,0.631713867188
0.058,,,0.631713867188
0.059,,,0.631713867188
0.06,,,0.631713867188
0.061,,,0.627899169922
0.062,,,0.627899169922
0.063,,,0.627899169922
0.064,,,0.631713867188
0.065,,,0.627899169922
0.066,,,0.631713867188
0.067,,,0.631713867188
0.068,,,0.631713867188
0.069,,,0.631713867188
0.07,,,0.631713867188
0.071,,,-3.13758850098
0.072,,,-1.4835357666
0.073,,,-0.908088684082
0.074,,,-0.706100463867
0.075,,,-0.637435913086
0.076,,,-0.614547729492
0.077,,,-0.606918334961
0.078,,,-0.59928894043
0.079,,,-0.603103637695
0.08,,,-0.59928894043
0.081,,,-0.59928894043
0.082,,,-0.59928894043
0.083,,,-0.603103637695
0.084,,,-0.603103637695
0.085,,,-0.603103637695
0.086,,,-0.606918334961
0.087,,,-0.603103637695
0.088,,,-0.603103637695
0.089,,,-0.603103637695
0.09,,,-0.59928894043
0.091,,,-0.606918334961
0.092,,,-0.603103637695
0.093,,,-0.59928894043
0.094,,,-0.59928894043
0.095,,,-0.603103637695
0.096,,,-0.59928894043
0.097,,,-0.603103637695
0.098,,,-0.603103637695
0.099,,,-0.59928894043
0.1,,,-0.59928894043
0.101,,,-0.59928894043
0.102,,,-0.603103637695
0.103,,,-0.59928894043
0.104,,,-0.59928894043
0.105,,,-0.59928894043
0.106,,,-0.59928894043
0.107,,,-0.603103637695
0.108,,,-0.603103637695
0.109,,,-0.603103637695
0.11,,,-0.603103637695
0.111,,,-0.603103637695
0.112,,,-0.59928894043
0.113,,,-0.59928894043
