"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,-373.578918457,0.013370513916
0.001,-373.578918457,0.0358581542969
0.002,-372.637023926,0.0576019287109
0.003,-370.282287598,0.0804901123047
0.004,-367.456604004,0.102233886719
0.005,-364.159973145,0.123977661133
0.006,-359.003100586,0.145721435547
0.007,-353.351733398,0.166702270508
0.008,-346.75847168,0.187301635742
0.009,-339.22331543,0.207901000977
0.01,-330.746264648,0.227336883545
0.011,-321.798266602,0.246410369873
0.012,-311.437426758,0.265102386475
0.013,-300.629187012,0.283031463623
0.014,-289.326452637,0.300197601318
0.015,-277.552770996,0.316219329834
0.016,-264.366247559,0.331859588623
0.017,-250.732324219,0.346355438232
0.018,-236.60390625,0.360088348389
0.019,-222.004541016,0.373439788818
0.02,-206.486828613,0.385265350342
0.021,-190.474621582,0.395946502686
0.022,-173.991467285,0.405864715576
0.023,-157.060913086,0.415019989014
0.024,-139.635864258,0.423393249512
0.025,-121.739868164,0.429878234863
0.026,-104.338366699,0.435600280762
0.027,-85.9714233398,0.44017791748
0.028,-67.6280273437,0.443992614746
0.029,-49.2610839844,0.446662902832
0.03,-30.4231933594,0.447807312012
0.031,-12.0797973633,0.447807312012
0.032,6.28714599609,0.447044372559
0.033,25.1250366211,0.444755554199
0.034,43.4684326172,0.441703796387
0.035,62.3063232422,0.437126159668
0.036,80.6497192383,0.432167053223
0.037,98.545715332,0.425682067871
0.038,116.441711426,0.4176902771
0.039,133.843212891,0.409297943115
0.04,151.268261719,0.399379730225
0.041,168.222363281,0.389080047607
0.042,184.681970215,0.377254486084
0.043,201.165124512,0.364665985107
0.044,216.706384277,0.351314544678
0.045,232.22409668,0.336818695068
0.046,246.823461914,0.321559906006
0.047,260.480932617,0.30553817749
0.048,272.70201416,0.288753509521
0.049,284.475695801,0.270824432373
0.05,296.249377441,0.252895355225
0.051,306.610217285,0.233821868896
0.052,316.4765625,0.214385986328
0.053,325.895507813,0.194549560547
0.054,333.901611328,0.173568725586
0.055,341.436767578,0.153350830078
0.056,348.030029297,0.131988525391
0.057,354.623291016,0.110626220703
