"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,281.650012207,-0.250205993652
0.001,274.114855957,-0.266990661621
0.002,265.661352539,-0.28263092041
0.003,256.242407227,-0.297508239746
0.004,246.823461914,-0.312385559082
0.005,237.404516602,-0.326499938965
0.006,226.572729492,-0.339851379395
0.007,215.764489746,-0.352439880371
0.008,205.403649902,-0.364627838135
0.009,193.629968262,-0.375690460205
0.01,181.385339355,-0.386753082275
0.011,169.164257812,-0.396289825439
0.012,156.448681641,-0.405445098877
0.013,143.733105469,-0.414218902588
0.014,130.546582031,-0.421466827393
0.015,117.383605957,-0.427951812744
0.016,102.784240723,-0.434055328369
0.017,89.1267700195,-0.439014434814
0.018,74.9983520508,-0.443210601807
0.019,61.3644287109,-0.446262359619
0.02,46.7650634766,-0.448932647705
0.021,32.6366455078,-0.450458526611
0.022,18.0608276367,-0.451221466064
0.023,3.46146240234,-0.451221466064
0.024,-11.137902832,-0.450077056885
0.025,-25.2427734375,-0.448169708252
0.026,-39.3711914062,-0.445499420166
0.027,-53.9705566406,-0.4416847229
0.028,-68.0989746094,-0.437488555908
0.029,-82.2038452148,-0.43176651001
0.03,-96.3322631836,-0.426044464111
0.031,-109.989733887,-0.418796539307
0.032,-123.152709961,-0.411548614502
0.033,-137.28112793,-0.402393341064
0.034,-149.996704102,-0.393238067627
0.035,-162.712280273,-0.38293838501
0.036,-174.933361816,-0.372257232666
0.037,-187.177990723,-0.360832214355
0.038,-198.951672363,-0.348243713379
0.039,-210.254406738,-0.335655212402
0.04,-221.062646484,-0.32154083252
0.041,-231.894433594,-0.307807922363
0.042,-241.784326172,-0.292930603027
0.043,-251.203271484,-0.277290344238
0.044,-260.622216797,-0.261268615723
0.045,-269.54666748,-0.245246887207
0.046,-277.552770996,-0.227699279785
0.047,-284.61697998,-0.21053314209
0.048,-291.681188965,-0.192985534668
0.049,-298.745397949,-0.174674987793
0.05,-304.867712402,-0.156383514404
0.051,-310.048132324,-0.137691497803
0.052,-315.205004883,-0.118236541748
0.053,-318.972583008,-0.0991630554199
0.054,-322.740161133,-0.0797080993652
0.055,-325.565844727,-0.0594902038574
0.056,-327.920581055,-0.0400352478027
0.057,-329.333422852,-0.0201988220215
0.058,-330.275317383,-0.000362396240234
0.059,-330.746264648,0.0198554992676
0.06,-330.746264648,0.0396728515625
0.061,-329.804370117,0.0595092773438
0.062,-327.920581055,0.079345703125
0.063,-326.036791992,0.0984191894531
0.064,-322.740161133,0.117874145508
0.065,-319.443530273,0.136947631836
0.066,-315.675952148,0.156021118164
0.067,-310.990026855,0.174713134766
0.068,-305.338659668,0.192642211914
0.069,-299.216345215,0.210571289063
0.07,-293.094030762,0.228099822998
0.071,-286.029821777,0.245265960693
0.072,-278.494665527,0.261287689209
0.073,-270.488562012,0.277690887451
0.074,-261.564111328,0.292949676514
0.075,-252.145166016,0.308208465576
0.076,-242.255273437,0.322704315186
0.077,-232.365380859,0.335674285889
0.078,-222.004541016,0.349407196045
0.079,-210.725354004,0.361614227295
0.08,-199.422619629,0.373439788818
0.081,-187.177990723,0.384120941162
0.082,-175.404309082,0.394039154053
0.083,-163.183227539,0.403957366943
0.084,-150.467651367,0.412349700928
0.085,-137.28112793,0.420341491699
0.086,-123.623657227,0.427589416504
0.087,-110.460681152,0.433692932129
0.088,-96.3322631836,0.439033508301
0.089,-82.6747924805,0.443229675293
0.09,-68.569921875,0.447425842285
0.091,-53.9705566406,0.450096130371
0.092,-39.3711914062,0.45238494873
0.093,-25.2427734375,0.453147888184
0.094,-10.6669555664,0.45352935791
0.095,3.46146240234,0.452766418457
0.096,18.0608276367,0.451240539551
0.097,32.6366455078,0.448951721191
0.098,47.2360107422,0.445899963379
0.099,60.8934814453,0.441703796387
0.1,74.5274047852,0.436363220215
0.101,89.1267700195,0.431022644043
0.102,102.313293457,0.424537658691
0.103,116.441711426,0.41654586792
0.104,129.6046875,0.408916473389
0.105,142.791210937,0.399379730225
0.106,155.506787109,0.389461517334
0.107,168.222363281,0.379161834717
0.108,180.91439209,0.36771774292
0.109,192.68807373,0.356273651123
0.11,204.461755371,0.342922210693
0.111,215.29354248,0.32995223999
0.112,226.101782227,0.316219329834
0.113,236.46262207,0.301342010498
0.114,246.352514648,0.286464691162
0.115,255.771459961,0.270442962646
0.116,264.248510742,0.254421234131
0.117,272.70201416,0.237636566162
0.118,280.23717041,0.2197265625
0.119,287.77232666,0.202941894531
0.12,294.836535645,0.185012817383
0.121,300.958850098,0.166320800781
0.122,306.610217285,0.148010253906
0.123,311.319689941,0.128555297852
0.124,316.005615234,0.109481811523
0.125,319.773193359,0.0900268554688
0.126,323.540771484,0.0705718994141
0.127,325.895507813,0.0503540039063
0.128,327.779296875,0.0312805175781
0.129,329.192138672,0.0110816955566
0.13,329.663085938,-0.00913619995117
0.131,330.134033203,-0.0285911560059
0.132,329.192138672,-0.0488090515137
0.133,327.779296875,-0.0686454772949
0.134,325.424560547,-0.087718963623
0.135,323.069824219,-0.107555389404
0.136,319.773193359,-0.127010345459
0.137,316.005615234,-0.145702362061
0.138,311.319689941,-0.164394378662
0.139,306.610217285,-0.183067321777
0.14,300.958850098,-0.200996398926
0.141,294.836535645,-0.218544006348
0.142,288.243273926,-0.235710144043
0.143,280.708117676,-0.252113342285
0.144,272.70201416,-0.268898010254
0.145,264.248510742,-0.284538269043
0.146,255.300512695,-0.299797058105
0.147,245.881567383,-0.314292907715
0.148,235.991674805,-0.328025817871
0.149,225.159887695,-0.341758728027
0.15,214.351647949,-0.354347229004
0.151,203.51986084,-0.366535186768
0.152,191.746179199,-0.377597808838
0.153,179.501550293,-0.387897491455
0.154,167.28046875,-0.397815704346
0.155,154.564892578,-0.406589508057
0.156,141.378369141,-0.414981842041
0.157,128.191845703,-0.422229766846
0.158,115.028869629,-0.428714752197
0.159,101.371398926,-0.434818267822
0.16,87.7139282227,-0.439777374268
0.161,73.6090576172,-0.443592071533
0.162,59.4806396484,-0.447025299072
0.163,44.8812744141,-0.449314117432
0.164,30.7528564453,-0.450458526611
0.165,16.1770385742,-0.451221466064
0.166,1.57767333984,-0.451221466064
0.167,-13.0216918945,-0.450077056885
0.168,-27.1265625,-0.447788238525
0.169,-41.7259277344,-0.444736480713
0.17,-55.8543457031,-0.441303253174
0.171,-69.9827636719,-0.436344146729
0.172,-84.558581543,-0.431385040283
0.173,-98.2160522461,-0.424900054932
0.174,-111.873522949,-0.418033599854
0.175,-125.036499023,-0.410022735596
0.176,-138.693969727,-0.401248931885
0.177,-151.409545898,-0.391712188721
0.178,-164.596069336,-0.381412506104
0.179,-176.817150879,-0.37073135376
0.18,-188.59083252,-0.358543395996
0.181,-199.893566895,-0.346717834473
0.182,-211.667248535,-0.333366394043
0.183,-222.946435547,-0.319633483887
0.184,-233.307275391,-0.305137634277
0.185,-243.197167969,-0.291023254395
0.186,-253.087060547,-0.275382995605
0.187,-262.035058594,-0.258979797363
0.188,-270.488562012,-0.242958068848
0.189,-278.965612793,-0.225791931152
0.19,-286.500769043,-0.20824432373
0.191,-293.094030762,-0.190315246582
0.192,-299.216345215,-0.172004699707
0.193,-305.338659668,-0.153713226318
0.194,-310.51907959,-0.134258270264
0.195,-315.675952148,-0.115566253662
0.196,-319.443530273,-0.096492767334
0.197,-322.740161133,-0.0766563415527
0.198,-325.565844727,-0.0568199157715
0.199,-328.39152832,-0.0369834899902
0.2,-329.804370117,-0.0175285339355
0.201,-330.746264648,0.0023078918457
0.202,-330.746264648,0.022144317627
0.203,-330.746264648,0.0423431396484
0.204,-329.333422852,0.0621795654297
0.205,-327.920581055,0.0816345214844
0.206,-326.036791992,0.101470947266
0.207,-322.740161133,0.120544433594
0.208,-318.972583008,0.139617919922
0.209,-314.734057617,0.158309936523
0.21,-309.577185059,0.177383422852
0.211,-304.396765137,0.194931030273
0.212,-298.274450684,0.212860107422
0.213,-291.681188965,0.230388641357
0.214,-284.61697998,0.247554779053
0.215,-276.610876465,0.263957977295
0.216,-269.075720215,0.279979705811
0.217,-260.622216797,0.295238494873
0.218,-250.732324219,0.310115814209
0.219,-241.313378906,0.324611663818
0.22,-230.952539062,0.337963104248
0.221,-220.591699219,0.350551605225
0.222,-209.312512207,0.363140106201
0.223,-198.009777832,0.374584197998
0.224,-185.765148926,0.385646820068
0.225,-173.52052002,0.395565032959
0.226,-160.828491211,0.405101776123
0.227,-148.583862305,0.413494110107
0.228,-135.397338867,0.421485900879
0.229,-121.739868164,0.42797088623
0.23,-108.105944824,0.434455871582
0.231,-93.9775268555,0.439796447754
0.232,-80.3200561523,0.444374084473
0.233,-66.2151855469,0.447807312012
0.234,-52.0867675781,0.450477600098
0.235,-37.4874023437,0.45238494873
0.236,-23.358984375,0.453147888184
0.237,-8.78316650391,0.453147888184
0.238,5.34525146484,0.45238494873
0.239,19.9446166992,0.451240539551
0.24,34.0494873047,0.448570251465
0.241,48.6488525391,0.444755554199
0.242,63.2482177734,0.440940856934
0.243,76.8821411133,0.435981750488
0.244,91.010559082,0.43025970459
0.245,104.668029785,0.423393249512
0.246,118.796447754,0.41540145874
0.247,131.959423828,0.407390594482
0.248,145.145947266,0.398235321045
0.249,157.390576172,0.387935638428
0.25,169.635205078,0.377635955811
0.251,182.327233887,0.366191864014
0.252,194.100915527,0.35436630249
0.253,205.403649902,0.341014862061
0.254,216.706384277,0.328044891357
0.255,227.043676758,0.313930511475
0.256,237.404516602,0.299434661865
0.257,247.29440918,0.284175872803
0.258,256.713354492,0.268535614014
0.259,266.132299805,0.252132415771
0.26,274.114855957,0.235347747803
0.261,281.650012207,0.217819213867
0.262,288.714221191,0.199890136719
0.263,295.778430176,0.182342529297
0.264,301.900744629,0.163650512695
0.265,307.552111816,0.144958496094
0.266,312.261584473,0.125503540039
0.267,316.005615234,0.107192993164
0.268,319.773193359,0.0873565673828
0.269,323.540771484,0.0675201416016
0.27,325.895507813,0.0480651855469
0.271,327.779296875,0.028247833252
0.272,328.721191406,0.0084114074707
0.273,329.192138672,-0.0118064880371
0.274,329.663085938,-0.0316429138184
0.275,328.721191406,-0.0514793395996
0.276,327.308349609,-0.0713157653809
0.277,325.424560547,-0.0907707214355
0.278,322.598876953,-0.11022567749
0.279,319.302246094,-0.129299163818
0.28,315.534667969,-0.148372650146
0.281,311.319689941,-0.167045593262
0.282,306.13927002,-0.185356140137
0.283,300.016955566,-0.203285217285
0.284,293.894641113,-0.221214294434
0.285,286.830432129,-0.237998962402
0.286,279.295275879,-0.254783630371
0.287,271.760119629,-0.271186828613
0.288,263.306616211,-0.286827087402
0.289,253.416723633,-0.301704406738
0.29,243.99777832,-0.316200256348
0.291,234.578833008,-0.329933166504
0.292,224.217993164,-0.343284606934
0.293,213.409753418,-0.35587310791
0.294,202.107019043,-0.368061065674
0.295,189.862390137,-0.379123687744
0.296,178.088708496,-0.389041900635
0.297,165.867626953,-0.398960113525
0.298,153.152050781,-0.407733917236
0.299,139.494580078,-0.416507720947
0.3,126.308056641,-0.423374176025
0.301,113.145080566,-0.42947769165
0.302,99.0166625977,-0.435581207275
0.303,85.3591918945,-0.440158843994
0.304,71.2543212891,-0.444355010986
0.305,57.1259033203,-0.447406768799
0.306,42.5265380859,-0.449695587158
0.307,28.3981201172,-0.450458526611
0.308,14.2932495117,-0.451221466064
0.309,0.164831542969,-0.450839996338
0.31,-14.905480957,-0.449314117432
0.311,-29.4812988281,-0.447406768799
0.312,-43.6097167969,-0.444736480713
0.313,-57.7381347656,-0.440540313721
0.314,-72.3139526367,-0.435962677002
0.315,-85.9714233398,-0.429859161377
0.316,-100.099841309,-0.423755645752
0.317,-114.228259277,-0.416889190674
0.318,-127.391235352,-0.408496856689
0.319,-140.577758789,-0.399723052979
0.32,-153.293334961,-0.390186309814
0.321,-166.479858398,-0.379505157471
0.322,-178.700939941,-0.369205474854
0.323,-190.474621582,-0.35701751709
0.324,-202.248303223,-0.34481048584
0.325,-213.080090332,-0.33145904541
0.326,-223.888330078,-0.317726135254
0.327,-234.720117187,-0.303230285645
0.328,-244.610009766,-0.288734436035
0.329,-254.028955078,-0.273094177246
0.33,-262.976953125,-0.256690979004
0.331,-270.959509277,-0.240287780762
0.332,-279.436560059,-0.223121643066
0.333,-287.442663574,-0.205955505371
