"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,-207.89967041,-0.210914611816
0.001,-211.19630127,-0.19832611084
0.002,-214.963879395,-0.185356140137
0.003,-218.236962891,-0.172004699707
0.004,-221.53359375,-0.158290863037
0.005,-224.359277344,-0.145320892334
0.006,-226.714013672,-0.131587982178
0.007,-229.06875,-0.117855072021
0.008,-231.423486328,-0.103359222412
0.009,-233.307275391,-0.0892448425293
0.01,-234.720117187,-0.075511932373
0.011,-235.662011719,-0.0613975524902
0.012,-236.60390625,-0.0469017028809
0.013,-238.016748047,-0.0324058532715
0.014,-238.487695312,-0.0179100036621
0.015,-238.958642578,-0.00417709350586
0.016,-239.429589844,0.0107002258301
0.017,-238.958642578,0.0251960754395
0.018,-238.958642578,0.0396728515625
0.019,-238.487695312,0.0534057617188
0.02,-238.016748047,0.0679016113281
0.021,-237.074853516,0.0823974609375
0.022,-235.662011719,0.0961303710938
0.023,-234.249169922,0.110626220703
0.024,-232.365380859,0.123977661133
0.025,-230.952539062,0.138092041016
0.026,-229.06875,0.151824951172
0.027,-226.243066406,0.165176391602
0.028,-223.417382812,0.178909301758
0.029,-220.120751953,0.191497802734
0.03,-217.295068359,0.204849243164
0.031,-214.492932129,0.217437744141
0.032,-210.725354004,0.230388641357
0.033,-206.957775879,0.242595672607
0.034,-203.190197754,0.254802703857
0.035,-199.422619629,0.267009735107
0.036,-195.184094238,0.278453826904
0.037,-190.474621582,0.289516448975
0.038,-185.765148926,0.300579071045
0.039,-181.05567627,0.311260223389
0.04,-175.875256348,0.321559906006
0.041,-170.694836426,0.331859588623
0.042,-165.537963867,0.341777801514
0.043,-160.357543945,0.350933074951
0.044,-154.235229492,0.360469818115
0.045,-148.112915039,0.3688621521
0.046,-142.461547852,0.377635955811
0.047,-136.339233398,0.385265350342
0.048,-129.74597168,0.392894744873
0.049,-123.623657227,0.400142669678
0.05,-117.053942871,0.407390594482
0.051,-110.460681152,0.413494110107
0.052,-103.867419434,0.419597625732
0.053,-97.2741577148,0.425300598145
0.054,-90.2099487305,0.430641174316
0.055,-83.6166870117,0.435218811035
0.056,-76.0815307617,0.439414978027
0.057,-68.569921875,0.443229675293
0.058,-61.5057128906,0.447044372559
0.059,-54.4415039062,0.450096130371
0.06,-47.3772949219,0.452766418457
0.061,-38.9002441406,0.45467376709
0.062,-31.8360351562,0.456581115723
0.063,-24.7718261719,0.458106994629
0.064,-17.2602172852,0.458488464355
0.065,-9.72506103516,0.459251403809
0.066,-2.18990478516,0.458869934082
0.067,5.34525146484,0.458488464355
0.068,12.8804077148,0.457725524902
0.069,19.9446166992,0.45581817627
0.07,27.4562255859,0.453910827637
0.071,34.5204345703,0.451622009277
0.072,42.0555908203,0.448951721191
0.073,49.1197998047,0.445899963379
0.074,56.6549560547,0.441703796387
0.075,63.7191650391,0.437889099121
0.076,70.7833740234,0.433311462402
0.077,77.8240356445,0.428733825684
0.078,85.3591918945,0.423011779785
0.079,92.4234008789,0.417308807373
0.08,99.0166625977,0.411205291748
0.081,105.609924316,0.404720306396
0.082,112.203186035,0.397853851318
0.083,118.796447754,0.390224456787
0.084,125.366162109,0.382595062256
0.085,131.488476562,0.374584197998
0.086,137.610791016,0.365810394287
0.087,143.262158203,0.35665512085
0.088,149.384472656,0.347881317139
0.089,155.035839844,0.337963104248
0.09,160.687207031,0.328426361084
0.091,165.867626953,0.318126678467
0.092,171.024499512,0.30782699585
0.093,176.204919434,0.296764373779
0.094,181.856286621,0.285701751709
0.095,186.565759277,0.274639129639
0.096,190.804284668,0.262432098389
0.097,195.042810059,0.250988006592
0.098,199.281335449,0.238780975342
0.099,203.51986084,0.226192474365
0.1,207.75838623,0.213623046875
0.101,211.05501709,0.200271606445
0.102,214.351647949,0.187683105469
0.103,217.177331543,0.173950195313
0.104,219.979467773,0.160980224609
0.105,222.805151367,0.147247314453
0.106,225.630834961,0.133895874023
0.107,227.985571289,0.119781494141
0.108,229.869360352,0.105667114258
0.109,231.282202148,0.0919342041016
0.11,233.636938477,0.0774383544922
0.111,235.049780273,0.0637054443359
0.112,236.46262207,0.048828125
0.113,237.404516602,0.0350952148438
0.114,237.875463867,0.0202369689941
0.115,238.346411133,0.00612258911133
0.116,238.346411133,-0.00837326049805
0.117,238.346411133,-0.0228691101074
0.118,238.346411133,-0.0369834899902
0.119,237.404516602,-0.0514793395996
0.12,236.933569336,-0.0655937194824
0.121,235.520727539,-0.0800895690918
0.122,234.578833008,-0.0942039489746
0.123,233.165991211,-0.107936859131
0.124,231.282202148,-0.122051239014
0.125,228.92746582,-0.13578414917
0.126,227.043676758,-0.149898529053
0.127,224.68894043,-0.162868499756
0.128,222.334204102,-0.176582336426
0.129,219.979467773,-0.189933776855
0.13,216.706384277,-0.202903747559
0.131,213.409753418,-0.215873718262
0.132,209.642175293,-0.227699279785
0.133,206.345544434,-0.240669250488
0.134,202.577966309,-0.252494812012
0.135,198.339440918,-0.264701843262
0.136,193.629968262,-0.275764465332
0.137,188.920495605,-0.287590026855
0.138,184.681970215,-0.298271179199
0.139,179.972497559,-0.308952331543
0.14,174.792077637,-0.319633483887
0.141,169.164257812,-0.329551696777
0.142,163.983837891,-0.339851379395
0.143,158.332470703,-0.348625183105
0.144,152.681103516,-0.357780456543
0.145,147.500683594,-0.366535186768
0.146,141.378369141,-0.374927520752
0.147,134.785107422,-0.383319854736
0.148,128.662792969,-0.390567779541
0.149,122.540478516,-0.397815704346
0.15,115.97076416,-0.404682159424
0.151,109.377502441,-0.411167144775
0.152,102.313293457,-0.4172706604
0.153,95.7200317383,-0.422992706299
0.154,88.6558227539,-0.427951812744
0.155,82.0625610352,-0.432529449463
0.156,74.5274047852,-0.437107086182
0.157,67.4867431641,-0.441303253174
0.158,60.4225341797,-0.445117950439
0.159,53.3583251953,-0.447788238525
0.16,45.3522216797,-0.450077056885
0.161,38.7589599609,-0.451984405518
0.162,31.6947509766,-0.45389175415
0.163,24.1831420898,-0.455417633057
0.164,16.6479858398,-0.45618057251
0.165,9.11282958984,-0.456562042236
0.166,1.57767333984,-0.45618057251
0.167,-5.48653564453,-0.455417633057
0.168,-13.0216918945,-0.454654693604
0.169,-21.0277954102,-0.453128814697
0.17,-28.5394042969,-0.451221466064
