"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
0,47.7069580078,0.0213813781738
0.001,48.1779052734,0.0183296203613
0.002,47.7069580078,0.0156593322754
0.003,48.1779052734,0.0122261047363
0.004,48.1779052734,0.00993728637695
0.005,48.1779052734,0.00688552856445
0.006,47.7069580078,0.00421524047852
0.007,47.7069580078,0.000400543212891
0.008,48.1779052734,-0.00188827514648
0.009,48.1779052734,-0.00532150268555
0.01,48.1779052734,-0.00799179077148
0.011,47.7069580078,-0.011043548584
0.012,47.7069580078,-0.0137138366699
0.013,47.7069580078,-0.0167655944824
0.014,48.1779052734,-0.0198173522949
0.015,48.1779052734,-0.0228691101074
0.016,48.1779052734,-0.0255393981934
0.017,48.1779052734,-0.0285911560059
0.018,48.1779052734,-0.0312614440918
0.019,48.1779052734,-0.0343132019043
0.02,47.7069580078,-0.0369834899902
0.021,48.1779052734,-0.0400352478027
0.022,47.7069580078,-0.0427055358887
0.023,47.7069580078,-0.0461387634277
0.024,47.7069580078,-0.0488090515137
0.025,47.7069580078,-0.0518608093262
0.026,47.7069580078,-0.0549125671387
0.027,47.2360107422,-0.057201385498
0.028,47.7069580078,-0.0602531433105
0.029,47.2360107422,-0.063304901123
0.03,47.2360107422,-0.0663566589355
0.031,47.7069580078,-0.0690269470215
0.032,47.2360107422,-0.072078704834
0.033,47.7069580078,-0.0747489929199
0.034,47.2360107422,-0.078182220459
0.035,47.2360107422,-0.0808525085449
0.036,47.2360107422,-0.0835227966309
0.037,47.7069580078,-0.0861930847168
0.038,47.2360107422,-0.0892448425293
0.039,46.7650634766,-0.0922966003418
0.04,46.7650634766,-0.0953483581543
0.041,46.7650634766,-0.0980186462402
0.042,46.7650634766,-0.100688934326
0.043,46.2941162109,-0.103740692139
0.044,46.2941162109,-0.106410980225
0.045,45.8231689453,-0.109462738037
0.046,46.2941162109,-0.111751556396
0.047,46.7650634766,-0.115184783936
0.048,46.2941162109,-0.117855072021
0.049,46.7650634766,-0.120906829834
0.05,46.7650634766,-0.123195648193
0.051,45.8231689453,-0.126247406006
0.052,45.8231689453,-0.128917694092
0.053,45.8231689453,-0.131969451904
0.054,46.2941162109,-0.13463973999
0.055,45.3522216797,-0.137310028076
0.056,45.3522216797,-0.140361785889
0.057,44.8812744141,-0.143032073975
0.058,45.3522216797,-0.145702362061
0.059,45.3522216797,-0.148372650146
0.06,44.8812744141,-0.151424407959
0.061,44.8812744141,-0.154094696045
0.062,44.4103271484,-0.157146453857
0.063,44.8812744141,-0.159435272217
