"Latest: Time (s)","Latest: Potential 2 (mV)","Run 1: Time (s)","Run 1: Potential 1 (V)"
0,828.93782959,0,0.0173950195313
0.001,803.977624512,0.001,0.0173950195313
0.002,777.628125,0.002,-0.00091552734375
0.003,749.842236328,0.003,0.0173950195313
0.004,722.07989502,0.004,-0.00091552734375
0.005,692.881164551,0.005,0.0173950195313
0.006,662.764086914,0.006,0.0173950195313
0.007,632.647009277,0.007,0.0173950195313
0.008,602.035437012,0.008,0.0173950195313
0.009,571.447412109,0.009,-0.00091552734375
0.01,540.859387207,0.01,-0.00091552734375
0.011,509.30592041,0.011,0.0173950195313
0.012,478.246948242,0.012,0.0173950195313
0.013,448.106323242,0.013,-0.00091552734375
0.014,417.989245605,0.014,-0.00091552734375
0.015,388.343115234,0.015,-0.00091552734375
0.016,359.144384766,0.016,0.0173950195313
0.017,330.440148926,0.017,0.0173950195313
0.018,302.654260254,0.018,-0.00091552734375
0.019,275.833813477,0.019,0.0173950195313
0.02,250.426208496,0.02,0.0173950195313
0.021,225.466003418,0.021,-0.00091552734375
0.022,201.9421875,0.022,0.0173950195313
0.023,179.33671875,0.023,0.0173950195313
0.024,157.673144531,0.024,0.0173950195313
0.025,139.329748535,0.025,-0.00091552734375
0.026,121.433752441,0.026,0.0173950195313
0.027,105.445092773,0.027,0.0173950195313
0.028,89.9038330078,0.028,0.0173950195313
0.029,77.1882568359,0.029,-0.00091552734375
0.03,66.3564697266,0.03,0.0173950195313
0.031,57.432019043,0.031,-0.00091552734375
0.032,50.3678100586,0.032,-0.00091552734375
0.033,45.1873901367,0.033,0.0173950195313
0.034,41.8907592773,0.034,-0.00091552734375
0.035,39.5360229492,0.035,0.0173950195313
0.036,40.9488647461,0.036,0.0173950195313
0.037,43.3036010742,0.037,0.0173950195313
0.038,47.5421264648,0.038,0.0173950195313
0.039,53.1934936523,0.039,0.0173950195313
0.04,61.1760498047,0.04,0.0173950195313
0.041,71.0659423828,0.041,0.0173950195313
0.042,83.3105712891,0.042,0.0173950195313
0.043,96.4970947266,0.043,0.0173950195313
0.044,111.543859863,0.044,-0.00091552734375
0.045,128.497961426,0.045,-0.00091552734375
0.046,146.864904785,0.046,0.0173950195313
0.047,167.092089844,0.047,-0.00091552734375
0.048,188.755664062,0.048,-0.00091552734375
0.049,211.337585449,0.049,0.0173950195313
0.05,234.88494873,0.05,0.0173950195313
0.051,260.292553711,0.051,0.0173950195313
0.052,287.136547852,0.052,0.0173950195313
0.053,314.427941895,0.053,0.0173950195313
0.054,342.213830566,0.054,-0.00091552734375
0.055,370.918066406,0.055,-0.00091552734375
0.056,399.622302246,0.056,0.0173950195313
0.057,429.29197998,0.057,-0.00091552734375
0.058,459.880004883,0.058,0.0173950195313
0.059,490.962524414,0.059,-0.00091552734375
0.06,521.550549316,0.06,0.0173950195313
0.061,552.609521484,0.061,0.0173950195313
0.062,583.22109375,0.062,0.0173950195313
0.063,613.809118652,0.063,0.0173950195313
0.064,644.86809082,0.064,0.0173950195313
0.065,674.537768555,0.065,0.0173950195313
0.066,704.183898926,0.066,-0.00091552734375
0.067,731.969787598,0.067,-0.00091552734375
0.068,759.732128906,0.068,-0.00091552734375
0.069,787.494470215,0.069,0.0173950195313
0.07,813.396569824,0.07,0.0173950195313
0.071,838.804174805,0.071,-0.00091552734375
0.072,862.351538086,0.072,0.0173950195313
0.073,884.462512207,0.073,0.0173950195313
0.074,905.184191895,0.074,-0.00091552734375
0.075,924.963977051,0.075,0.0173950195313
0.076,942.836425781,0.076,-0.00091552734375
0.077,959.319580078,0.077,-0.00091552734375
0.078,973.447998047,0.078,-0.00091552734375
0.079,986.610974121,0.079,0.0173950195313
0.08,997.44276123,0.08,0.0173950195313
0.081,1007.33265381,0.081,0.0173950195313
0.082,1014.86781006,0.082,-0.00091552734375
0.083,1020.51917725,0.083,-0.00091552734375
0.084,1023.79226074,0.084,-0.00091552734375
0.085,1024.73415527,0.085,0.0173950195313
0.086,1024.73415527,0.086,-0.00091552734375
0.087,1022.87391357,0.087,0.0173950195313
0.088,1019.10633545,0.088,0.0173950195313
0.089,1012.04212646,0.089,-0.00091552734375
0.09,1004.03602295,0.09,0.0173950195313
0.091,993.675183105,0.091,0.0173950195313
0.092,982.37244873,0.092,0.0173950195313
0.093,968.267578125,0.093,0.0173950195313
0.094,953.197265625,0.094,0.0173950195313
0.095,935.772216797,0.095,0.0173950195313
0.096,917.428820801,0.096,-0.00091552734375
0.097,897.178088379,0.097,0.0173950195313
0.098,876.009008789,0.098,0.0173950195313
0.099,853.403540039,0.099,0.0173950195313
0.1,829.408776855,0.1,-0.00091552734375
0.101,803.977624512,0.101,0.0173950195313
0.102,777.628125,0.102,-0.00091552734375
0.103,750.784130859,0.103,0.0173950195313
0.104,722.550842285,0.104,-0.00091552734375
0.105,693.823059082,0.105,0.0173950195313
0.106,664.176928711,0.106,-0.00091552734375
0.107,633.117956543,0.107,0.0173950195313
0.108,602.977331543,0.108,0.0173950195313
0.109,572.860253906,0.109,0.0173950195313
0.11,541.306787109,0.11,-0.00091552734375
0.111,510.247814941,0.111,0.0173950195313
0.112,479.188842773,0.112,0.0173950195313
0.113,448.106323242,0.113,0.0173950195313
0.114,418.460192871,0.114,0.0173950195313
0.115,388.343115234,0.115,-0.00091552734375
0.116,359.615332031,0.116,-0.00091552734375
0.117,330.911096191,0.117,0.0173950195313
0.118,302.654260254,0.118,-0.00091552734375
0.119,275.833813477,0.119,-0.00091552734375
0.12,250.426208496,0.12,0.0173950195313
0.121,225.936950684,0.121,0.0173950195313
0.122,201.9421875,0.122,0.0173950195313
0.123,179.33671875,0.123,0.0173950195313
0.124,158.144091797,0.124,0.0173950195313
0.125,139.329748535,0.125,0.0173950195313
0.126,120.962805176,0.126,0.0173950195313
0.127,104.974145508,0.127,-0.00091552734375
0.128,89.9038330078,0.128,-0.00091552734375
0.129,77.1882568359,0.129,-0.00091552734375
0.13,65.8855224609,0.13,0.0173950195313
