"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
1.571405,28629.2102051,-0.453785605519,-0.390280867506,-1.61676745869,2.75,27.0095825195,-0.471238898038,-0.475117407487,3.5122057787
1.599976,28511.9494629,-0.471238898038,-0.542999467834,-3.05206101896,2.8,26.7044067383,-0.488692190558,-0.22301429331,3.51759259738
1.628547,28511.9494629,-0.488692190558,-0.610874401314,-2.9035823748,2.85,25.0274658203,-0.488692190558,-0.0581776417331,2.21398247707
1.657118,28394.6887207,-0.506145483078,-0.678749334793,-3.05206101896,2.9,24.3255615234,-0.488692190558,-0.00969627362219,0.926532812787
1.685689,28453.3190918,-0.523598775598,-0.831467935122,-1.61676745869,2.95,24.5086669922,-0.488692190558,0,0.26934093395
1.71426,28453.3190918,-0.558505360638,-0.831467935122,1.48478644166,3,24.7528076172,-0.488692190558,0,0.0484813681109
1.742831,28453.3190918,-0.575958653158,-0.678749334793,2.49114169656,3.05,24.6307373047,-0.488692190558,0,0.00538681867899
1.771402,28511.9494629,-0.593411945678,-0.627843134684,1.4517911874,3.1,24.6002197266,-0.488692190558,0,0
1.799973,28394.6887207,-0.610865238198,-0.610874401314,0.560919322406,3.15,24.6002197266,-0.488692190558,0,0
1.828544,28511.9494629,-0.628318530718,-0.610874401314,0.115483389911,3.2,24.6917724609,-0.488692190558,0,-0.010773637358
1.857115,28511.9494629,-0.645771823238,-0.610874401314,0.016497627132,3.25,24.9664306641,-0.488692190558,0,-0.0808022801849
1.885686,28629.2102051,-0.663225115758,-0.610874401314,-2.44397677166E-012,3.3,25.1190185547,-0.488692190558,0,-0.414785038283
1.914257,28687.8405762,-0.680678408278,-0.610874401314,-4.05282200537E-012,3.35,24.8443603516,-0.488692190558,-0.0193925472444,-1.21742102145
1.942828,28570.579834,-0.698131700798,-0.610874401314,-2.35298337804E-012,3.4,24.7528076172,-0.488692190558,-0.0872664625997,-2.54796523516
1.971399,28687.8405762,-0.715584993318,-0.610874401314,-0.0164976271304,3.45,25.4531860352,-0.488692190558,-0.31028075591,-3.15667574589
1.99997,28629.2102051,-0.733038285838,-0.610874401314,-0.115483389907,3.5,26.8569946289,-0.523598775598,-0.475117407487,-2.35403976272
2.028541,28687.8405762,-0.750491578358,-0.610874401314,-0.560919322404,3.55,24.8748779297,-0.541052068118,-0.542991322843,-1.4113464939
2.057112,28629.2102051,-0.767944870877,-0.627843134684,-1.4517911874,3.6,25.0579833984,-0.575958653158,-0.62056151182,-0.414785038282
2.085683,28687.8405762,-0.785398163397,-0.678749334793,-2.49114169656,3.65,22.8317260742,-0.610865238198,-0.562383870087,0.118510010938
2.114254,28746.4709473,-0.802851455917,-0.831467935122,-1.50128406878,3.7,23.5931396484,-0.628318530718,-0.562383870087,-0.166991379049
2.142825,28805.1013184,-0.837758040957,-0.831467935122,1.48478644166,3.75,23.6236572266,-0.663225115758,-0.62056151182,0.188538653765
2.171396,28863.7316895,-0.855211333477,-0.678749334793,2.37565830665,3.8,23.4710693359,-0.698131700798,-0.552687596465,0.711060065627
2.199967,28863.7316895,-0.872664625997,-0.627843134684,0.874374237862,3.85,22.9522705078,-0.715584993318,-0.523598775598,0.834956895244
2.228538,29098.2531738,-0.890117918517,-0.627843134684,-1.00635525491,3.9,22.5875854492,-0.750491578358,-0.48481368111,1.10968464787
2.257109,29156.8835449,-0.907571211037,-0.678749334793,-2.93657762906,3.95,20.3308105469,-0.767944870878,-0.387850944888,0.808022801849
2.28568,29215.513916,-0.925024503557,-0.848436668492,-2.93657762906,4,19.3542480469,-0.785398163397,-0.368458397643,-0.183151835086
2.314251,29156.8835449,-0.959931088597,-0.899342868601,-1.0063552549,4.05,19.1101074219,-0.802851455917,-0.39754721851,-1.31977057635
2.342822,29332.7746582,-0.977384381117,-0.899342868601,0.874374237866,4.1,18.5302734375,-0.820304748437,-0.523598775598,-1.92848108708
2.371393,29450.0354004,-1.01229096616,-0.848436668492,2.39215593378,4.15,17.8604125977,-0.855211333477,-0.649650332687,-1.32515739503
2.399964,29450.0354004,-1.02974425868,-0.695718068163,1.58377220444,4.2,16.8533325195,-0.890117918517,-0.678739153553,-0.226246384518
2.428535,29625.9265137,-1.0471975512,-0.695718068163,-1.03935050916,4.25,17.3721313477,-0.925024503557,-0.659346606309,0.592550054689
2.457106,29625.9265137,-1.06465084372,-0.831467935122,-1.48478644166,4.3,19.2626953125,-0.959931088597,-0.572080143709,0.495587318468
2.485677,29743.1872559,-1.09955742876,-0.848436668492,0.164976271291,4.35,20.6970214844,-0.977384381117,-0.572080143709,-0.226246384518
2.514248,29860.447998,-1.11701072128,-0.746624268273,0.0164976271272,4.4,22.0993041992,-1.01229096616,-0.649650332687,0.113123192259
2.542819,29919.0783691,-1.1344640138,-0.848436668492,-0.0494928813895,4.45,22.9522705078,-1.0471975512,-0.630257785442,1.73994243332
2.57139,30036.3391113,-1.16937059884,-0.831467935122,2.06220339119,4.5,23.2269287109,-1.08210413624,-0.475117407487,3.3344407623
2.599961,29977.7087402,-1.18682389136,-0.678749334793,2.60662508647,4.55,24.4476318359,-1.09955742876,-0.22301429331,3.47988486663
2.628532,30153.5998535,-1.20427718388,-0.627843134684,1.4517911874,4.6,24.4476318359,-1.09955742876,-0.0581776417331,2.20859565839
2.657103,30094.9694824,-1.2217304764,-0.610874401314,0.4454359325,4.65,24.2034912109,-1.09955742876,-0.00969627362219,0.926532812787
2.685674,30212.2302246,-1.23918376892,-0.610874401314,-0.461933559623,4.7,23.5321044922,-1.09955742876,0,0.26934093395
2.714245,30270.8605957,-1.25663706144,-0.627843134684,-1.5672745773,4.75,23.6541748047,-1.09955742876,0,0.048481368111
2.742816,30270.8605957,-1.27409035396,-0.678749334793,-3.184042036,4.8,23.4405517578,-1.09955742876,0,0.005386818679
2.771387,30388.1213379,-1.29154364648,-0.848436668492,-3.6294779685,4.85,23.6236572266,-1.09955742876,0,0
2.799958,30270.8605957,-1.32645023152,-0.916311601971,-3.01906576471,4.9,23.4710693359,-1.09955742876,0,0
2.828529,30388.1213379,-1.34390352404,-0.984186535451,-3.06855864609,4.95,23.4405517578,-1.09955742876,0,0
2.8571,30388.1213379,-1.37881010908,-1.13690513578,-1.60026983156,5,23.6236572266,-1.09955742876,0,0
2.885671,30446.751709,-1.41371669412,-1.13690513578,1.58377220444,5.05,23.5626220703,-1.09955742876,0,-0.005386818679
2.914242,30388.1213379,-1.44862327916,-0.98418653545,2.95307525619,5.1,23.8372802734,-1.09955742876,0,-0.048481368111
2.942813,30329.4909668,-1.46607657168,-0.916311601971,2.44164881517,5.15,23.8372802734,-1.09955742876,0,-0.26934093395
2.971384,30388.1213379,-1.50098315672,-0.865405401862,2.04570576406,5.2,23.8067626953,-1.09955742876,-0.00969627362219,-0.926532812787
2.999955,30270.8605957,-1.51843644924,-0.746624268273,-2.33787178242E-012,5.25,24.3560791016,-1.09955742876,-0.0581776417331,-2.20859565839
3.028526,30270.8605957,-1.53588974175,-0.865405401862,-2.04570576406,5.3,24.1424560547,-1.09955742876,-0.22301429331,-3.47988486663
3.057097,30153.5998535,-1.57079632679,-0.916311601971,-2.44164881517,5.35,24.4476318359,-1.11701072128,-0.475117407487,-3.3344407623
