"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
2.95,3553.00048828,-0.296705972839,-0.349065850399,0.005386818679,2.95,24.5086669922,-0.488692190558,0,0.26934093395
3,3904.78271484,-0.314159265359,-0.349065850399,8.10154412692E-014,3,24.7528076172,-0.488692190558,0,0.0484813681109
3.05,4256.56494141,-0.331612557879,-0.349065850399,-6.56573560952E-014,3.05,24.6307373047,-0.488692190558,0,0.00538681867899
3.1,4666.97753906,-0.349065850399,-0.349065850399,5.92427341751E-014,3.1,24.6002197266,-0.488692190558,0,0
3.15,4960.12939453,-0.366519142919,-0.349065850399,1.99624267733E-013,3.15,24.6002197266,-0.488692190558,0,0
3.2,5136.02050781,-0.383972435439,-0.349065850399,7.25345709422E-014,3.2,24.6917724609,-0.488692190558,0,-0.010773637358
3.25,5311.91162109,-0.401425727959,-0.349065850399,0.00538681867892,3.25,24.9664306641,-0.488692190558,0,-0.0808022801849
3.3,5487.80273438,-0.418879020479,-0.349065850399,0.0377077307528,3.3,25.1190185547,-0.488692190558,0,-0.414785038283
3.35,5895.28381348,-0.436332312999,-0.349065850399,0.177765016407,3.35,24.8443603516,-0.488692190558,-0.0193925472444,-1.21742102145
3.4,5953.91418457,-0.453785605519,-0.339369576777,0.436332312999,3.4,24.7528076172,-0.488692190558,-0.0872664625997,-2.54796523516
3.45,6129.80529785,-0.471238898038,-0.31028075591,0.630257785442,3.45,25.4531860352,-0.488692190558,-0.31028075591,-3.15667574589
3.5,5895.28381348,-0.488692190558,-0.232710566933,0.0215472747158,3.5,26.8569946289,-0.523598775598,-0.475117407487,-2.35403976272
3.55,5660.7623291,-0.488692190558,-0.261799387799,-1.26590238956,3.55,24.8748779297,-0.541052068118,-0.542991322843,-1.4113464939
3.6,5487.80273438,-0.506145483078,-0.436332312999,-1.12045828523,3.6,25.0579833984,-0.575958653158,-0.62056151182,-0.414785038282
3.65,5602.13195801,-0.541052068118,-0.455724860243,0.490200499789,3.65,22.8317260742,-0.610865238198,-0.562383870087,0.118510010938
3.7,5836.65344238,-0.558505360638,-0.349065850399,1.44905422465,3.7,23.5931396484,-0.628318530718,-0.562383870087,-0.166991379049
3.75,5953.91418457,-0.575958653158,-0.232710566933,0.96424054354,3.75,23.6236572266,-0.663225115758,-0.62056151182,0.188538653765
3.8,6071.17492676,-0.575958653158,-0.22301429331,-0.129283648296,3.8,23.4710693359,-0.698131700798,-0.552687596465,0.711060065627
3.85,6481.58752441,-0.593411945678,-0.300584482288,-0.301661846024,3.85,22.9522705078,-0.715584993318,-0.523598775598,0.834956895244
3.9,6716.10900879,-0.610865238198,-0.300584482288,0.344756395456,3.9,22.5875854492,-0.750491578358,-0.48481368111,1.10968464787
3.95,7302.41271973,-0.628318530718,-0.22301429331,0.307048664703,3.95,20.3308105469,-0.767944870878,-0.387850944888,0.808022801849
4,7536.9342041,-0.628318530718,-0.22301429331,-0.527908230542,4,19.3542480469,-0.785398163397,-0.368458397643,-0.183151835086
4.05,9061.32385254,-0.645771823238,-0.31028075591,-0.818796439207,4.05,19.1101074219,-0.802851455917,-0.39754721851,-1.31977057635
4.1,9530.36682129,-0.663225115758,-0.339369576777,-0.474040043751,4.1,18.5302734375,-0.820304748437,-0.523598775598,-1.92848108708
4.15,9530.36682129,-0.680678408278,-0.349065850399,-0.188538653765,4.15,17.8604125977,-0.855211333477,-0.649650332687,-1.32515739503
4.2,10172.3693848,-0.698131700798,-0.349065850399,-0.0700286428269,4.2,16.8533325195,-0.890117918517,-0.678739153553,-0.226246384518
4.25,10348.260498,-0.715584993318,-0.349065850399,-0.150830923012,4.25,17.3721313477,-0.925024503557,-0.659346606309,0.592550054689
4.3,10055.1086426,-0.733038285838,-0.358762124021,-0.290888208666,4.3,19.2626953125,-0.959931088597,-0.572080143709,0.495587318468
4.35,9530.36682129,-0.750491578358,-0.378154671265,-0.339369576777,4.35,20.6970214844,-0.977384381117,-0.572080143709,-0.226246384518
4.4,9178.58459473,-0.767944870878,-0.436332312999,0.317822302061,4.4,22.0993041992,-1.01229096616,-0.649650332687,0.113123192259
4.45,8533.6505127,-0.802851455917,-0.349065850399,0.942693268824,4.45,22.9522705078,-1.0471975512,-0.630257785442,1.73994243332
4.5,8181.86828613,-0.802851455917,-0.261799387799,0.140057285654,4.5,23.2269287109,-1.08210413624,-0.475117407487,3.3344407623
4.55,8123.23791504,-0.820304748437,-0.329673303154,-0.813409620529,4.55,24.4476318359,-1.09955742876,-0.22301429331,3.47988486663
4.6,8123.23791504,-0.837758040957,-0.378154671265,-1.10429782919,4.6,24.4476318359,-1.09955742876,-0.0581776417331,2.20859565839
4.65,7947.34680176,-0.855211333477,-0.475117407487,-0.635644604121,4.65,24.2034912109,-1.09955742876,-0.00969627362219,0.926532812787
4.7,7478.30383301,-0.890117918517,-0.475117407487,0.452492769036,4.7,23.5321044922,-1.09955742876,0,0.26934093395
4.75,7419.67346191,-0.907571211037,-0.387850944888,0.770315071096,4.75,23.6541748047,-1.09955742876,0,0.048481368111
4.8,7595.5645752,-0.925024503557,-0.358762124021,0.290888208666,4.8,23.4405517578,-1.09955742876,0,0.005386818679
4.85,7712.82531738,-0.942477796077,-0.358762124021,-0.296275027345,4.85,23.6236572266,-1.09955742876,0,0
4.9,7888.71643066,-0.959931088597,-0.387850944888,-0.813409620528,4.9,23.4710693359,-1.09955742876,0,0
4.95,8416.38977051,-0.977384381117,-0.475117407487,-0.662578697516,4.95,23.4405517578,-1.09955742876,0,0
5,8475.0201416,-1.01229096616,-0.48481368111,0.059255005469,5,23.6236572266,-1.09955742876,0,0
5.05,8768.17199707,-1.02974425868,-0.426636039376,0.226246384518,5.05,23.5626220703,-1.09955742876,0,-0.005386818679
5.1,7830.08605957,-1.0471975512,-0.475117407487,0.684125972232,5.1,23.8372802734,-1.09955742876,0,-0.048481368111
5.15,6657.4786377,-1.08210413624,-0.426636039376,2.18704838367,5.15,23.8372802734,-1.09955742876,0,-0.26934093395
5.2,6305.69641113,-1.09955742876,-0.213318019688,2.85501389987,5.2,23.8067626953,-1.09955742876,-0.00969627362219,-0.926532812787
5.25,6305.69641113,-1.09955742876,-0.0581776417331,1.99312291123,5.25,24.3560791016,-1.09955742876,-0.0581776417331,-2.20859565839
5.3,6305.69641113,-1.09955742876,-0.00969627362219,0.883438263355,5.3,24.1424560547,-1.09955742876,-0.22301429331,-3.47988486663
5.35,6305.69641113,-1.09955742876,0,0.263954115271,5.35,24.4476318359,-1.11701072128,-0.475117407487,-3.3344407623
5.4,6364.32678223,-1.09955742876,0,0.048481368111,5.4,25.0274658203,-1.15191730632,-0.630257785442,-1.73455561464
5.45,6071.17492676,-1.09955742876,0,0.005386818679,5.45,25.3005981445,-1.18682389136,-0.649650332687,-0.0754154615061
5.5,6305.69641113,-1.09955742876,0,0,5.5,25.7583618164,-1.2217304764,-0.572080143709,0.409398219604
5.55,6129.80529785,-1.09955742876,0,0,5.55,27.1011352539,-1.23918376892,-0.562383870087,-0.026934093395
5.6,6129.80529785,-1.09955742876,0,0,5.6,26.9790649414,-1.27409035396,-0.62056151182,0.183151835086
5.65,6071.17492676,-1.09955742876,0,0,5.65,25.178527832,-1.308996939,-0.552687596465,0.527908230542
5.7,6071.17492676,-1.09955742876,0,0,5.7,22.526550293,-1.32645023152,-0.53329504922,0.32320912074
5.75,6129.80529785,-1.09955742876,0,0,5.75,19.7814941406,-1.36135681656,-0.523598775598,0.118510010938
5.8,6129.80529785,-1.09955742876,0,0,5.8,20.7870483398,-1.37881010908,-0.523598775598,-0.118510010938
5.85,6071.17492676,-1.09955742876,0,0,5.85,22.2213745117,-1.41371669412,-0.53329504922,-0.317822302061
5.9,6071.17492676,-1.09955742876,0,-0.005386818679,5.9,22.4044799805,-1.43116998664,-0.552687596465,-0.484813681109
5.95,6129.80529785,-1.09955742876,0,-0.043094549432,5.95,24.2645263672,-1.46607657168,-0.62056151182,0.037707730753
6,6422.95715332,-1.09955742876,0,-0.226246384518,6,26.7654418945,-1.50098315672,-0.552687596465,0.678739153553
6.05,6481.58752441,-1.09955742876,-0.00969627362219,-0.700286428269,6.05,28.4729003906,-1.51843644924,-0.523598775598,0.840343713923
6.1,6481.58752441,-1.09955742876,-0.048481368111,-1.5136960488,6.1,30.0888061523,-1.55334303427,-0.48481368111,1.19587374674
6.15,6716.10900879,-1.09955742876,-0.174532925199,-2.00928336727,6.15,30.4244995117,-1.57079632679,-0.387850944888,1.26051557088
6.2,6129.80529785,-1.11701072128,-0.300584482288,-1.55679059823,6.2,30.4550170898,-1.58824961931,-0.349065850399,1.21742102145
6.25,5660.7623291,-1.1344640138,-0.339369576777,-0.921145994108,6.25,29.9057006836,-1.60570291183,-0.300584482288,1.70223470256
6.3,5429.17236328,-1.15191730632,-0.358762124021,-0.888825082034,6.3,28.5949707031,-1.62315620435,-0.174532925199,2.04160427934
6.35,5194.65087891,-1.16937059884,-0.39754721851,-1.36825194446,6.35,30.2719116211,-1.62315620435,-0.048481368111,1.51908286748
6.4,4549.71679688,-1.18682389136,-0.513902501976,-1.49214877408,6.4,31.0348510742,-1.62315620435,-0.00969627362219,0.700286428269
6.45,3904.78271484,-1.2217304764,-0.610865238198,-0.479426862431,6.45,29.753112793,-1.62315620435,0,0.226246384518
6.5,3377.109375,-1.25663706144,-0.552687596465,0.452492769036,6.5,29.7225952148,-1.62315620435,0,0.043094549432
6.55,3201.21826172,-1.27409035396,-0.523598775598,0.614097329405,6.55,29.0222167969,-1.62315620435,0,0.005386818679
6.6,2849.43603516,-1.308996939,-0.494509954732,0.673352334874,6.6,29.6020507813,-1.62315620435,0,0
6.65,2614.91455078,-1.32645023152,-0.426636039376,0.220859565839,6.65,29.753112793,-1.62315620435,0,0
6.7,2204.50195313,-1.34390352404,-0.48481368111,0.0269340933948,6.7,29.1748046875,-1.62315620435,0,0
6.75,1618.19824219,-1.37881010908,-0.475117407487,0.678739153553,6.75,29.9057006836,-1.62315620435,0,0
6.8,1383.67675781,-1.3962634016,-0.387850944888,0.851117351281,6.8,29.5715332031,-1.62315620435,0,-0.00538681867899
6.85,1210.71716309,-1.41371669412,-0.358762124021,0.474040043752,6.85,29.8751831055,-1.62315620435,0,-0.0484813681109
6.9,1034.8260498,-1.43116998664,-0.349065850399,0.145444104333,6.9,29.8446655273,-1.62315620435,0,-0.26934093395
6.95,917.565307617,-1.44862327916,-0.349065850399,-0.150830923012,6.95,29.9362182617,-1.62315620435,-0.00969627362219,-0.921145994108
7,800.30456543,-1.46607657168,-0.358762124021,-0.506360955825,7,30.3329467773,-1.62315620435,-0.0581776417331,-2.17627474631
7.05,683.043823242,-1.4835298642,-0.387850944888,-1.00194827429,7.05,30.6991577148,-1.62315620435,-0.22301429331,-3.32905394362
7.1,565.783081055,-1.50098315672,-0.48481368111,-1.00194827429,7.1,30.5465698242,-1.64060949687,-0.465421133865,-3.0004580042
7.15,507.152709961,-1.53588974176,-0.513902501976,-0.511747774505,7.15,29.4494628906,-1.67551608191,-0.601168964576,-1.17432647202
7.2,448.522338867,-1.55334303427,-0.523598775598,-0.188538653765,7.2,26.4297485352,-1.71042266695,-0.552687596465,0.258567296592
7.25,389.891967773,-1.58824961931,-0.523598775598,-0.032320912074,7.25,25.6973266602,-1.72787595947,-0.523598775598,0.716446884306
7.3,389.891967773,-1.60570291183,-0.523598775598,0.032320912074,7.3,26.2771606445,-1.76278254451,-0.48481368111,0.953466906182
7.35,389.891967773,-1.64060949687,-0.523598775598,0.188538653765,7.35,26.9180297852,-1.78023583703,-0.39754721851,0.517134593184
7.4,448.522338867,-1.65806278939,-0.513902501976,0.506360955826,7.4,27.4353027344,-1.79768912955,-0.39754721851,-0.517134593184
7.45,565.783081055,-1.69296937443,-0.48481368111,0.96424054354,7.45,27.4963378906,-1.81514242207,-0.48481368111,-0.96424054354
7.5,683.043823242,-1.71042266695,-0.387850944888,0.813409620528,7.5,27.587890625,-1.85004900711,-0.523598775598,-0.797249164491
7.55,800.30456543,-1.72787595947,-0.368458397643,-1.99655107262E-013,7.55,28.2592773438,-1.86750229963,-0.552687596465,-0.667965516195
7.6,976.195678711,-1.74532925199,-0.387850944888,-0.808022801849,7.6,28.3813476563,-1.90240888467,-0.62056151182,-0.00538681867901
7.65,1210.71716309,-1.76278254451,-0.48481368111,-0.931919631466,7.65,28.5034179688,-1.93731546971,-0.552687596465,0.635644604121
7.7,1442.30712891,-1.79768912955,-0.513902501976,-0.355530032814,7.7,30.6381225586,-1.95476876223,-0.523598775598,0.646418241479
7.75,1676.82861328,-1.81514242207,-0.513902501976,0.140057285654,7.75,34.8159790039,-1.98967534727,-0.494509954732,0.635644604121
7.8,1735.45898438,-1.85004900711,-0.494509954732,0.490200499789,7.8,34.3276977539,-2.00712863979,-0.426636039376,-0.005386818679
7.85,1911.35009766,-1.86750229963,-0.426636039376,0.177765016407,7.85,34.9075317383,-2.02458193231,-0.494509954732,-0.667965516195
7.9,2204.50195313,-1.88495559215,-0.48481368111,-0.016160456037,7.9,27.9541015625,-2.05948851735,-0.523598775598,-0.797249164491
7.95,2673.54492188,-1.91986217719,-0.475117407487,0.495587318467,7.95,32.1014404297,-2.07694180987,-0.562383870087,-0.96424054354
8,3083.95751953,-1.93731546971,-0.39754721851,0.37707730753,8,31.3095092773,-2.11184839491,-0.649650332687,-0.517134593184
8.05,3494.37011719,-1.95476876223,-0.39754721851,-0.333982758098,8.05,27.4047851563,-2.14675497995,-0.649650332687,0.522521411862
8.1,3787.52197266,-1.97222205475,-0.475117407487,-0.307048664703,8.1,27.5268554688,-2.18166156499,-0.562383870087,1.00733509297
8.15,3963.41308594,-2.00712863979,-0.475117407487,0.533295049221,8.15,24.4171142578,-2.19911485751,-0.523598775598,1.02888236769
8.2,4139.30419922,-2.02458193231,-0.387850944888,0.85650416996,8.2,23.3184814453,-2.23402144255,-0.48481368111,1.4113464939
8.25,4315.1953125,-2.04203522483,-0.358762124021,0.657191878837,8.25,22.282409668,-2.25147473507,-0.378154671265,1.73994243332
8.3,4549.71679688,-2.05948851735,-0.339369576777,0.662578697516,8.3,22.038269043,-2.26892802759,-0.31028075591,2.03083064198
8.35,4784.23828125,-2.07694180987,-0.31028075591,0.894211900713,8.35,22.1908569336,-2.28638132011,-0.174532925199,2.19243520235
8.4,5311.91162109,-2.09439510239,-0.22301429331,0.721833702985,8.4,21.6415405273,-2.28638132011,-0.048481368111,1.55140377955
8.45,5543.50158691,-2.09439510239,-0.213318019688,0.210085928481,8.45,21.1837768555,-2.28638132011,-0.00969627362219,0.705673246948
8.5,6129.80529785,-2.11184839491,-0.261799387799,0.70028642827,8.5,19.140625,-2.28638132011,0,0.226246384518
8.55,6716.10900879,-2.12930168743,-0.164836651577,1.52985650483,8.55,19.1711425781,-2.28638132011,0,0.043094549432
8.6,6481.58752441,-2.12930168743,-0.0484813681109,1.33054421371,8.6,19.5373535156,-2.28638132011,0,0.005386818679
8.65,6657.4786377,-2.12930168743,-0.00969627362219,0.662578697516,8.65,19.4763183594,-2.28638132011,0,0
8.7,6892.00012207,-2.12930168743,0,0.220859565839,8.7,19.140625,-2.28638132011,0,0
8.75,6950.63049316,-2.12930168743,0,0.0430945494319,8.75,19.4458007813,-2.28638132011,0,-0.00538681867899
8.8,6774.73937988,-2.12930168743,0,0.00538681867899,8.8,19.5068359375,-2.28638132011,0,-0.0484813681109
8.85,6598.8482666,-2.12930168743,0,0,8.85,19.62890625,-2.28638132011,0,-0.26934093395
8.9,6481.58752441,-2.12930168743,0,0,8.9,20.5749511719,-2.28638132011,-0.00969627362219,-0.921145994108
8.95,6364.32678223,-2.12930168743,0,0,8.95,20.7260131836,-2.28638132011,-0.0581776417331,-2.18166156499
9,6247.06604004,-2.12930168743,0,0,9,21.061706543,-2.28638132011,-0.22301429331,-3.37214849305
9.05,6188.43566895,-2.12930168743,0,0,9.05,22.1603393555,-2.30383461263,-0.465421133865,-3.22131757004
9.1,6247.06604004,-2.12930168743,0,0,9.1,22.038269043,-2.33874119767,-0.610865238198,-1.83690516954
9.15,6247.06604004,-2.12930168743,0,0,9.15,22.282409668,-2.37364778271,-0.601168964576,-1.06120327976
9.2,6305.69641113,-2.12930168743,0,0,9.2,22.4044799805,-2.39110107523,-0.688435427176,-0.737994159022
9.25,6364.32678223,-2.12930168743,0,0,9.25,25.3921508789,-2.44346095279,-0.746613068909,0.624870966763
9.3,6540.21789551,-2.12930168743,0,-0.010773637358,9.3,25.422668457,-2.47836753783,-0.591472690954,1.30361012032
9.35,6598.8482666,-2.12930168743,0,-0.0808022801849,9.35,25.9414672852,-2.49582083035,-0.542991322843,0.651805060158
9.4,6716.10900879,-2.12930168743,0,-0.409398219604,9.4,25.0579833984,-2.53072741539,-0.53329504922,0.00538681867898
9.45,6774.73937988,-2.12930168743,-0.0193925472444,-1.1797132907,9.45,22.2213745117,-2.54818070791,-0.552687596465,-0.457879587715
9.5,6892.00012207,-2.12930168743,-0.0872664625997,-2.36481340008,9.5,20.9701538086,-2.58308729295,-0.62056151182,-0.177765016407
9.55,6716.10900879,-2.12930168743,-0.300584482288,-2.67724888346,9.55,20.0866699219,-2.61799387799,-0.562383870087,-0.0161604560368
9.6,7126.52160645,-2.16420827247,-0.436332312999,-1.49753559276,9.6,20.5139160156,-2.63544717051,-0.572080143709,-0.635644604121
9.65,7067.89123535,-2.18166156499,-0.416939765754,-0.700286428269,9.65,21.8246459961,-2.67035375555,-0.659346606309,-0.630257785442
9.7,7009.26086426,-2.19911485751,-0.48481368111,-0.242406840555,9.7,23.1964111328,-2.70526034059,-0.678739153553,0.183151835086
9.75,6716.10900879,-2.23402144255,-0.475117407487,0.630257785442,9.75,22.6791381836,-2.74016692563,-0.649650332687,1.14200555995
9.8,6540.21789551,-2.25147473507,-0.387850944888,0.845730532602,9.8,22.9232788086,-2.77507351067,-0.53329504922,1.45982786201
9.85,6481.58752441,-2.26892802759,-0.358762124021,0.479426862431,9.85,24.1729736328,-2.79252680319,-0.436332312999,0.554842323936
9.9,6364.32678223,-2.28638132011,-0.349065850399,0.188538653765,9.9,24.7833251953,-2.80998009571,-0.494509954732,-0.037707730753
9.95,6305.69641113,-2.30383461263,-0.349065850399,0.0754154615059,9.95,26.1856079102,-2.84488668075,-0.504206228354,0.603323692047
10,6364.32678223,-2.32128790515,-0.349065850399,0.188538653765,10,27.9846191406,-2.86233997327,-0.465421133865,1.87999971897
10.05,6422.95715332,-2.33874119767,-0.339369576777,0.474040043751,10.05,28.7170410156,-2.89724655831,-0.31028075591,2.97352391081
10.1,6481.58752441,-2.35619449019,-0.31028075591,0.813409620528,10.1,29.4189453125,-2.89724655831,-0.0872664625997,2.51025750441
10.15,6540.21789551,-2.37364778271,-0.22301429331,0.490200499789,10.15,29.2663574219,-2.89724655831,-0.0193925472444,1.21203420277
10.2,6247.06604004,-2.37364778271,-0.22301429331,-0.490200499788,10.2,28.0151367188,-2.89724655831,0,0.414785038283
10.25,6247.06604004,-2.39110107523,-0.31028075591,-0.808022801849,10.25,28.3813476563,-2.89724655831,0,0.0808022801849
10.3,6247.06604004,-2.40855436775,-0.339369576777,-0.436332312999,10.3,28.1982421875,-2.89724655831,0,0.010773637358
10.35,6129.80529785,-2.42600766027,-0.349065850399,1.99639687498E-013,10.35,28.1066894531,-2.89724655831,0,0
10.4,6364.32678223,-2.44346095279,-0.339369576777,0.436332312999,10.4,27.8015136719,-2.89724655831,0,0
10.45,6305.69641113,-2.46091424531,-0.31028075591,0.813409620528,10.45,27.7099609375,-2.89724655831,0,0
10.5,6188.43566895,-2.47836753783,-0.22301429331,0.527908230541,10.5,28.1066894531,-2.89724655831,0,-0.005386818679
10.55,6071.17492676,-2.47836753783,-0.22301429331,-0.301661846024,10.55,28.1066894531,-2.89724655831,0,-0.048481368111
10.6,6188.43566895,-2.49582083035,-0.300584482288,-0.301661846024,10.6,28.1066894531,-2.89724655831,0,-0.26934093395
10.65,5660.7623291,-2.51327412287,-0.300584482288,0.522521411863,10.65,29.1442871094,-2.89724655831,-0.00969627362219,-0.926532812787
10.7,5370.54199219,-2.53072741539,-0.213318019688,0.781088708454,10.7,29.0832519531,-2.89724655831,-0.0581776417331,-2.21398247707
10.75,5602.13195801,-2.53072741539,-0.184229198822,0.290888208665,10.75,29.1137695313,-2.89724655831,-0.22301429331,-3.51759259738
10.8,5311.91162109,-2.54818070791,-0.184229198822,-0.290888208666,10.8,26.9180297852,-2.91469985083,-0.475117407487,-3.51759259738
10.85,5136.02050781,-2.54818070791,-0.213318019688,-0.781088708454,10.85,26.887512207,-2.94960643587,-0.639954059065,-2.21398247707
10.9,5370.54199219,-2.56563400043,-0.300584482288,-0.522521411862,10.9,26.0635375977,-2.98451302091,-0.688435427176,-0.921145994108
10.95,5487.80273438,-2.58308729295,-0.300584482288,0.301661846024,10.95,22.9522705078,-3.01941960595,-0.698131700798,-0.231633203197
11,5429.17236328,-2.60054058547,-0.22301429331,0.301661846024,11,21.1837768555,-3.05432619099,-0.698131700798,0.140057285654
11.05,5487.80273438,-2.60054058547,-0.22301429331,-0.522521411862,11.05,22.7096557617,-3.08923277603,-0.688435427176,0.500974137147
11.1,5543.50158691,-2.61799387799,-0.31028075591,-0.781088708454,11.1,24.5086669922,-3.12413936107,-0.659346606309,0.96424054354
11.15,5602.13195801,-2.63544717051,-0.339369576777,-0.290888208666,11.15,26.0635375977,-3.15904594611,-0.562383870087,0.818796439207
11.2,5543.50158691,-2.65290046303,-0.339369576777,0.290888208666,11.2,25.8193969727,-3.17649923863,-0.542991322843,0.0323209120739
11.25,5660.7623291,-2.67035375555,-0.31028075591,0.775701889775,11.25,24.3255615234,-3.21140582367,-0.562383870087,-0.657191878837
11.3,5429.17236328,-2.68780704807,-0.22301429331,0.490200499788,11.3,23.1658935547,-3.22885911619,-0.649650332687,-0.603323692047
11.35,5194.65087891,-2.68780704807,-0.22301429331,-0.452492769036,11.35,23.1658935547,-3.28121899375,-0.659346606309,0.172378197728
11.4,5018.75976563,-2.70526034059,-0.31028075591,-0.630257785442,11.4,23.2879638672,-3.29867228627,-0.591472690954,0.32320912074
