"Latest: Time (s)","Latest: Potential (mV)"
0,128.968908691
0.001,111.543859863
0.002,96.4970947266
0.003,83.3105712891
0.004,71.5368896484
0.005,61.6469970703
0.006,53.664440918
0.007,48.0130737305
0.008,43.7745483398
0.009,41.8907592773
0.01,41.8907592773
0.011,43.7745483398
0.012,47.5421264648
0.013,53.1934936523
0.014,60.7051025391
0.015,70.5949951172
0.016,83.3105712891
0.017,97.4389892578
0.018,114.369543457
0.019,133.678381348
0.02,151.574377441
0.021,169.917773437
0.022,189.697558594
0.023,212.27947998
0.024,236.297790527
0.025,259.35065918
0.026,284.310864258
0.027,309.718469238
0.028,336.091516113
0.029,363.853857422
0.03,392.581640625
0.031,421.285876465
0.032,450.932006836
0.033,481.543579102
0.034,512.131604004
0.035,543.661523438
0.036,573.802148438
0.037,604.39017334
0.038,634.059851074
0.039,662.764086914
0.04,691.468322754
0.041,719.725158691
0.042,747.958447266
0.043,775.273388672
0.044,800.680993652
0.045,825.64119873
0.046,848.694067383
0.047,870.828588867
0.048,891.997668457
0.049,910.835559082
0.05,929.649902344
0.051,945.662109375
0.052,960.261474609
0.053,973.447998047
0.054,984.727185059
0.055,995.088024902
0.056,1002.62318115
0.057,1009.21644287
0.058,1012.51307373
0.059,1014.39686279
0.06,1014.86781006
0.061,1013.45496826
0.062,1010.1583374
0.063,1004.03602295
0.064,996.500866699
0.065,987.081921387
0.066,976.721081543
0.067,964.029052734
0.068,949.4296875
0.069,932.946533203
0.07,915.074084473
0.071,895.765246582
0.072,875.538061523
0.073,853.403540039
0.074,830.798071289
0.075,805.861413574
0.076,779.982861328
0.077,754.551708984
0.078,727.260314941
0.079,698.532531738
0.08,668.415454102
0.081,638.745776367
0.082,609.099645996
0.083,579.924462891
0.084,549.312890625
0.085,518.724865723
0.086,488.13684082
0.087,458.467163086
0.088,428.821032715
0.089,399.15135498
0.09,369.505224609
0.091,340.80098877
0.092,312.544152832
0.093,284.310864258
0.094,256.995922852
0.095,231.588317871
0.096,207.099060059
0.097,184.988085937
0.098,164.737353516
0.099,146.39395752
0.1,128.497961426
0.101,113.427648926
0.102,99.3227783203
0.103,87.0781494141
