"Latest: Time (s)","Latest: Potential (mV)"
0,1246.9270752
0.001,732.911682129
0.002,1.41284179688
0.003,713.602844238
0.004,1245.5142334
0.005,13.6339233398
0.006,1.41284179688
0.007,1206.92010498
0.008,957.906738281
0.009,0.94189453125
0.01,473.537475586
0.011,1246.9270752
0.012,243.361999512
0.013,1.41284179688
0.014,1109.48111572
0.015,1147.13334961
0.016,0.94189453125
0.017,247.600524902
0.018,1245.04328613
0.019,489.078735352
0.02,1.41284179688
0.021,945.662109375
0.022,1247.39802246
0.023,1.41284179688
0.024,52.7225463867
0.025,1245.98518066
0.026,730.085998535
0.027,0.94189453125
0.028,715.957580566
0.029,1246.9270752
0.03,11.2791870117
0.031,1.41284179688
0.032,1209.27484131
0.033,951.313476563
0.034,1.41284179688
0.035,483.427368164
0.036,1245.5142334
0.037,233.943054199
0.038,1.41284179688
0.039,1115.13248291
0.04,1140.54008789
0.041,0.94189453125
0.042,256.524975586
0.043,1246.9270752
0.044,478.717895508
0.045,1.41284179688
0.046,952.726318359
0.047,1245.5142334
0.048,1.41284179688
0.049,55.0772827148
0.05,1245.04328613
0.051,731.027893066
0.052,0.94189453125
0.053,712.190002441
0.054,1247.39802246
0.055,15.0467651367
0.056,1.41284179688
0.057,1206.44915771
0.058,960.261474609
0.059,0.94189453125
0.06,470.240844727
0.061,1245.98518066
0.062,247.129577637
0.063,1.41284179688
0.064,1107.59732666
0.065,1150.42998047
0.066,1.41284179688
0.067,243.361999512
0.068,1245.98518066
0.069,493.764660645
0.07,1.41284179688
0.071,941.423583984
0.072,1247.39802246
0.073,1.41284179688
0.074,48.4840209961
0.075,1247.39802246
0.076,736.184765625
0.077,1.41284179688
0.078,709.364318848
0.079,1245.5142334
0.08,16.9305541992
0.081,1.41284179688
0.082,1205.97821045
0.083,961.203369141
0.084,0.94189453125
0.085,469.769897461
0.086,1246.9270752
0.087,248.542419434
0.088,1.41284179688
0.089,1107.12637939
0.09,1151.84282227
0.091,0.94189453125
0.092,241.949157715
0.093,1245.04328613
0.094,494.706555176
0.095,1.41284179688
0.096,940.010742188
0.097,1246.9270752
0.098,1.41284179688
0.099,47.0711791992
0.1,1245.98518066
0.101,738.068554687
0.102,1.41284179688
0.103,708.893371582
0.104,1247.39802246
0.105,17.4015014648
0.106,1.41284179688
0.107,1205.97821045
0.108,962.145263672
0.109,1.41284179688
0.11,468.357055664
0.111,1245.98518066
0.112,249.013366699
0.113,1.41284179688
0.114,1107.12637939
0.115,1151.371875
0.116,0.94189453125
0.117,241.949157715
0.118,1246.9270752
0.119,495.648449707
0.12,0.94189453125
0.121,940.010742188
0.122,1245.5142334
0.123,1.41284179688
0.124,47.5421264648
0.125,1245.5142334
0.126,737.126660156
0.127,1.41284179688
0.128,708.893371582
0.129,1246.9270752
0.13,15.988659668
0.131,1.41284179688
0.132,1207.86199951
0.133,954.139160156
0.134,0.94189453125
0.135,478.246948242
0.136,1246.45612793
0.137,243.361999512
0.138,1.8837890625
0.139,1109.48111572
0.14,1148.07524414
0.141,0.94189453125
0.142,244.774841309
0.143,1245.98518066
0.144,491.904418945
0.145,1.41284179688
0.146,941.423583984
0.147,1247.86896973
0.148,1.41284179688
0.149,48.4840209961
0.15,1246.9270752
0.151,736.655712891
0.152,1.41284179688
0.153,709.364318848
0.154,1245.5142334
0.155,16.4596069336
0.156,1.41284179688
0.157,1205.97821045
0.158,961.203369141
0.159,0.94189453125
0.16,469.298950195
0.161,1246.9270752
0.162,248.542419434
0.163,1.41284179688
0.164,1107.12637939
0.165,1150.90092773
0.166,0.94189453125
0.167,242.42010498
0.168,1245.98518066
0.169,494.706555176
0.17,1.41284179688
0.171,941.89453125
0.172,1246.9270752
0.173,1.41284179688
0.174,50.8387573242
0.175,1245.04328613
0.176,732.440734863
0.177,0.94189453125
0.178,713.131896973
0.179,1247.39802246
0.18,14.5758178711
0.181,1.41284179688
0.182,1207.39105225
0.183,956.96484375
0.184,0.94189453125
0.185,475.892211914
0.186,1245.98518066
0.187,242.42010498
0.188,1.41284179688
0.189,1110.89395752
0.19,1145.24956055
0.191,1.41284179688
0.192,251.839050293
0.193,1246.45612793
0.194,486.253051758
0.195,0.94189453125
0.196,944.720214844
0.197,1245.5142334
0.198,1.41284179688
0.199,48.0130737305
0.2,1245.5142334
0.201,738.068554687
0.202,0.94189453125
0.203,707.480529785
0.204,1246.9270752
0.205,18.8143432617
0.206,1.41284179688
0.207,1205.03631592
0.208,964.029052734
0.209,0.94189453125
0.21,466.002319336
0.211,1247.39802246
0.212,252.286450195
0.213,1.41284179688
0.214,1105.7135376
0.215,1153.25566406
0.216,0.94189453125
0.217,239.123474121
0.218,1245.04328613
0.219,498.945080566
0.22,1.41284179688
0.221,936.714111328
0.222,1247.39802246
0.223,0.94189453125
0.224,45.1873901367
0.225,1246.9270752
0.226,741.365185547
0.227,0.94189453125
0.228,704.183898926
0.229,1245.04328613
0.23,21.1690795898
0.231,1.41284179688
0.232,1204.09442139
0.233,965.441894531
0.234,0.94189453125
0.235,464.118530273
0.236,1246.9270752
0.237,254.170239258
0.238,1.41284179688
0.239,1104.3006958
0.24,1155.61040039
0.241,1.41284179688
0.242,237.239685059
0.243,1246.45612793
0.244,499.886975098
0.245,1.41284179688
0.246,935.301269531
0.247,1246.45612793
0.248,1.41284179688
0.249,43.7745483398
0.25,1245.04328613
0.251,743.248974609
0.252,0.94189453125
0.253,702.771057129
0.254,1246.9270752
0.255,22.1109741211
0.256,1.41284179688
0.257,1204.09442139
0.258,966.854736328
0.259,0.94189453125
0.26,463.176635742
0.261,1245.04328613
0.262,254.641186523
0.263,1.41284179688
0.264,1104.3006958
0.265,1155.61040039
0.266,1.41284179688
0.267,237.239685059
0.268,1246.9270752
0.269,501.299816895
0.27,1.41284179688
0.271,934.830322266
0.272,1245.98518066
