"Latest: Time (s)","Latest: Potential (mV)"
0,581.808251953
0.001,582.279199219
0.002,583.22109375
0.003,584.162988281
0.004,584.633935547
0.005,585.575830078
0.006,587.930566406
0.007,592.616491699
0.008,605.803015137
0.009,619.931433105
0.01,618.989538574
0.011,618.518591309
0.012,616.634802246
0.013,610.512487793
0.014,598.738806152
0.015,597.796911621
0.016,588.401513672
0.017,578.040673828
0.018,573.331201172
0.019,572.860253906
0.02,573.331201172
0.021,573.802148438
0.022,573.802148438
0.023,573.331201172
0.024,574.744042969
0.025,577.098779297
0.026,579.453515625
0.027,578.982568359
0.028,578.982568359
0.029,577.569726563
0.03,577.569726563
0.031,578.511621094
0.032,579.453515625
0.033,579.924462891
0.034,579.924462891
0.035,578.982568359
0.036,579.453515625
0.037,580.866357422
0.038,580.395410156
0.039,579.453515625
0.04,578.511621094
0.041,578.511621094
0.042,578.511621094
0.043,578.982568359
0.044,578.511621094
0.045,578.040673828
0.046,577.569726563
0.047,577.569726563
0.048,578.040673828
0.049,578.040673828
0.05,578.040673828
0.051,577.569726563
0.052,577.569726563
0.053,578.040673828
0.054,578.040673828
0.055,577.569726563
0.056,575.214990234
0.057,577.098779297
0.058,578.040673828
0.059,579.453515625
0.06,578.511621094
0.061,576.627832031
0.062,570.976464844
0.063,568.15078125
0.064,561.557519531
0.065,559.673730469
0.066,562.028466797
0.067,566.266992188
0.068,567.679833984
0.069,568.621728516
0.07,570.034570313
0.071,571.918359375
0.072,575.214990234
0.073,579.924462891
0.074,583.22109375
0.075,593.087438965
0.076,597.325964355
0.077,596.85501709
0.078,594.029333496
0.079,590.732702637
0.08,588.401513672
0.081,586.517724609
0.082,585.575830078
0.083,564.854150391
0.084,542.248681641
0.085,552.609521484
0.086,547.429101563
0.087,524.37623291
0.088,553.551416016
0.089,578.982568359
0.09,595.442175293
0.091,616.16385498
0.092,625.111853027
0.093,623.69901123
0.094,618.989538574
0.095,613.809118652
0.096,609.099645996
0.097,604.39017334
0.098,601.564489746
0.099,598.738806152
0.1,596.384069824
0.101,594.029333496
0.102,591.203649902
0.103,590.261755371
0.104,589.31986084
0.105,587.930566406
0.106,586.988671875
0.107,586.046777344
0.108,585.104882813
0.109,584.162988281
0.11,584.162988281
0.111,583.22109375
0.112,582.279199219
0.113,581.337304688
0.114,581.337304688
0.115,581.337304688
0.116,581.337304688
0.117,580.866357422
0.118,579.924462891
0.119,579.924462891
0.12,579.924462891
0.121,579.924462891
0.122,579.453515625
0.123,578.982568359
0.124,578.982568359
0.125,578.511621094
0.126,578.982568359
0.127,578.040673828
0.128,578.040673828
0.129,577.098779297
0.13,576.627832031
0.131,577.098779297
0.132,577.098779297
0.133,577.098779297
0.134,577.098779297
0.135,576.627832031
0.136,576.627832031
0.137,577.098779297
0.138,576.627832031
0.139,576.627832031
0.14,576.627832031
0.141,576.156884766
0.142,575.6859375
0.143,576.156884766
0.144,576.156884766
0.145,576.156884766
0.146,575.6859375
0.147,575.214990234
0.148,575.214990234
0.149,574.744042969
0.15,574.273095703
0.151,573.802148438
0.152,573.331201172
0.153,573.331201172
0.154,573.802148438
0.155,572.860253906
0.156,572.860253906
0.157,572.389306641
0.158,571.918359375
0.159,571.918359375
0.16,572.389306641
0.161,571.447412109
0.162,570.976464844
0.163,570.505517578
0.164,570.505517578
0.165,569.563623047
0.166,569.092675781
0.167,568.621728516
0.168,567.208886719
0.169,565.796044922
0.17,565.796044922
0.171,563.441308594
0.172,559.673730469
0.173,554.022363281
0.174,546.487207031
