"Latest: Time (s)","Latest: Potential (mV)"
0,0.94189453125
0.001,1.41284179688
0.002,1.41284179688
0.003,141.213537598
0.004,519.195812988
0.005,900.474719238
0.006,1245.04328613
0.007,1246.45612793
0.008,1246.9270752
0.009,1245.5142334
0.01,1247.39802246
0.011,1245.04328613
0.012,1245.98518066
0.013,928.708007813
0.014,547.900048828
0.015,162.853564453
0.016,1.41284179688
0.017,1.41284179688
0.018,0.94189453125
0.019,0.94189453125
0.02,0.94189453125
0.021,1.41284179688
0.022,1.41284179688
0.023,141.213537598
0.024,518.724865723
0.025,899.532824707
0.026,1245.04328613
0.027,1245.98518066
0.028,1246.9270752
0.029,1246.45612793
0.03,1245.04328613
0.031,1246.9270752
0.032,1246.45612793
0.033,929.649902344
0.034,548.841943359
0.035,163.324511719
0.036,0.94189453125
0.037,0.94189453125
0.038,0.94189453125
0.039,0.94189453125
0.04,0.94189453125
0.041,1.41284179688
0.042,1.41284179688
0.043,140.271643066
0.044,518.253918457
0.045,899.532824707
0.046,1244.1013916
0.047,1246.9270752
0.048,1245.04328613
0.049,1246.9270752
0.05,1246.45612793
0.051,1245.04328613
0.052,1247.39802246
0.053,929.649902344
0.054,549.783837891
0.055,164.737353516
0.056,1.41284179688
0.057,0.94189453125
0.058,1.41284179688
0.059,0.94189453125
0.06,1.41284179688
0.061,1.41284179688
0.062,1.41284179688
0.063,139.329748535
0.064,517.312023926
0.065,898.590930176
0.066,1244.57233887
0.067,1246.45612793
0.068,1246.9270752
0.069,1245.04328613
0.07,1247.39802246
0.071,1245.98518066
0.072,1246.45612793
0.073,930.591796875
0.074,549.783837891
0.075,164.26640625
0.076,1.41284179688
0.077,1.41284179688
0.078,0.94189453125
0.079,0.94189453125
0.08,0.94189453125
0.081,0.94189453125
0.082,1.41284179688
0.083,139.800695801
0.084,517.782971191
0.085,898.590930176
0.086,1245.04328613
0.087,1245.5142334
0.088,1247.39802246
0.089,1246.45612793
0.09,1245.04328613
0.091,1247.39802246
0.092,1246.45612793
0.093,929.178955078
0.094,548.370996094
0.095,163.795458984
0.096,1.41284179688
0.097,1.41284179688
0.098,1.41284179688
0.099,0.94189453125
0.1,0.94189453125
0.101,0.94189453125
0.102,1.41284179688
0.103,140.742590332
0.104,518.724865723
0.105,900.003771973
0.106,1244.57233887
0.107,1246.9270752
0.108,1245.04328613
0.109,1247.39802246
0.11,1246.45612793
0.111,1245.04328613
0.112,1247.86896973
0.113,928.708007813
0.114,547.900048828
0.115,163.324511719
0.116,1.41284179688
0.117,0.94189453125
0.118,1.41284179688
0.119,0.94189453125
0.12,0.94189453125
0.121,1.41284179688
0.122,1.41284179688
0.123,140.742590332
0.124,518.253918457
0.125,899.061877441
0.126,1244.57233887
0.127,1246.9270752
0.128,1246.9270752
0.129,1245.5142334
0.13,1247.39802246
0.131,1245.98518066
0.132,1246.45612793
0.133,929.649902344
0.134,548.841943359
0.135,163.324511719
0.136,1.41284179688
0.137,1.41284179688
0.138,0.470947265625
0.139,0.94189453125
0.14,1.41284179688
0.141,0.94189453125
0.142,1.41284179688
0.143,140.271643066
0.144,517.782971191
0.145,898.590930176
0.146,1244.57233887
0.147,1245.04328613
0.148,1247.39802246
0.149,1246.45612793
0.15,1245.04328613
0.151,1246.9270752
0.152,1245.98518066
0.153,930.591796875
0.154,549.783837891
0.155,165.208300781
0.156,1.41284179688
0.157,1.41284179688
0.158,0.94189453125
0.159,0.470947265625
0.16,0.94189453125
0.161,0.94189453125
0.162,1.41284179688
0.163,138.85880127
0.164,516.370129395
0.165,897.649035645
0.166,1243.63044434
0.167,1246.9270752
0.168,1245.5142334
0.169,1247.39802246
0.17,1245.98518066
0.171,1245.04328613
0.172,1247.39802246
0.173,930.591796875
0.174,550.254785156
0.175,164.737353516
0.176,1.41284179688
0.177,1.41284179688
0.178,0.94189453125
0.179,0.94189453125
0.18,0.94189453125
0.181,1.41284179688
0.182,1.41284179688
0.183,138.85880127
0.184,516.84107666
0.185,897.649035645
0.186,1244.1013916
0.187,1246.9270752
0.188,1246.9270752
0.189,1244.57233887
0.19,1247.39802246
0.191,1245.98518066
0.192,1246.45612793
0.193,930.591796875
0.194,550.254785156
0.195,165.208300781
0.196,1.41284179688
0.197,0.94189453125
0.198,1.41284179688
0.199,0.94189453125
0.2,0.94189453125
0.201,0.94189453125
0.202,1.41284179688
0.203,138.85880127
0.204,516.84107666
0.205,898.11998291
0.206,1244.57233887
0.207,1245.98518066
0.208,1247.39802246
0.209,1246.45612793
0.21,1245.04328613
0.211,1246.9270752
0.212,1245.98518066
0.213,931.533691406
0.214,550.254785156
0.215,165.208300781
0.216,1.41284179688
0.217,0.94189453125
0.218,0.94189453125
0.219,0.94189453125
0.22,0.94189453125
0.221,1.41284179688
0.222,1.41284179688
0.223,138.387854004
0.224,515.899182129
0.225,897.178088379
0.226,1243.15949707
0.227,1246.9270752
0.228,1245.98518066
0.229,1247.39802246
0.23,1245.98518066
0.231,1245.98518066
0.232,1247.86896973
0.233,932.004638672
0.234,551.196679688
0.235,165.679248047
0.236,1.41284179688
0.237,1.41284179688
0.238,1.41284179688
0.239,0.94189453125
0.24,0.94189453125
0.241,1.41284179688
0.242,1.41284179688
0.243,137.916906738
0.244,515.899182129
0.245,897.178088379
0.246,1243.15949707
0.247,1246.9270752
0.248,1246.9270752
0.249,1245.04328613
0.25,1246.9270752
0.251,1245.98518066
0.252,1245.98518066
0.253,932.475585938
0.254,551.667626953
0.255,166.621142578
0.256,1.41284179688
0.257,0.94189453125
0.258,0.94189453125
0.259,0.94189453125
0.26,0.94189453125
0.261,1.41284179688
0.262,1.41284179688
0.263,136.975012207
0.264,514.957287598
0.265,896.707141113
0.266,1243.63044434
0.267,1245.5142334
0.268,1247.39802246
0.269,1246.9270752
0.27,1245.04328613
0.271,1246.9270752
0.272,1245.98518066
0.273,932.946533203
